Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RMQNaive, 191672, 2     , 1.6   , 105   , 0.0   , 0.03  , 0.03  , 0.09  
RMQHeuristic, RMQNaive, 191672, 3     , 1.9   , 111   , 0.0   , 0.04  , 0.04  , 0.06  
RMQHeuristic, RMQNaive, 191672, 4     , 2.2   , 97    , 0.0   , 0.03  , 0.03  , 0.04  
RMQHeuristic, RMQNaive, 191672, 5     , 2.7   , 79    , 0.0   , 0.02  , 0.02  , 0.03  
RMQHeuristic, RMQNaive, 191672, 6     , 3.2   , 67    , 0.0   , 0.02  , 0.02  , 0.03  
RMQHeuristic, RMQNaive, 191672, 7     , 3.9   , 49    , 0.0   , 0.01  , 0.02  , 0.03  
RMQHeuristic, RMQNaive, 191672, 8     , 4.7   , 35    , 0.0   , 0.01  , 0.01  , 0.02  
RMQHeuristic, RMQNaive, 191672, 9     , 5.6   , 15    , 0.0   , 0.01  , 0.01  , 0.01  
RMQHeuristic, RMQNaive, 191672, 10    , 6.7   , 13    , 0.0   , 0.01  , 0.01  , 0.01  
RMQHeuristic, RMQNaive, 191672, 11    , 8.0   , 9     , 0.0   , 0.01  , 0.01  , 0.01  

RMQHeuristic, RMQNaive, 195708, 2     , 1.6   , 92    , 0.0   , 0.03  , 0.03  , 0.07  
RMQHeuristic, RMQNaive, 195708, 3     , 1.9   , 81    , 0.0   , 0.02  , 0.02  , 0.04  
RMQHeuristic, RMQNaive, 195708, 4     , 2.2   , 87    , 0.0   , 0.02  , 0.02  , 0.04  
RMQHeuristic, RMQNaive, 195708, 5     , 2.7   , 81    , 0.0   , 0.02  , 0.02  , 0.03  
RMQHeuristic, RMQNaive, 195708, 6     , 3.2   , 74    , 0.0   , 0.01  , 0.01  , 0.03  
RMQHeuristic, RMQNaive, 195708, 7     , 3.9   , 60    , 0.0   , 0.01  , 0.01  , 0.02  
RMQHeuristic, RMQNaive, 195708, 8     , 4.7   , 59    , 0.0   , 0.01  , 0.01  , 0.02  
RMQHeuristic, RMQNaive, 195708, 9     , 5.6   , 40    , 0.0   , 0.01  , 0.01  , 0.02  
RMQHeuristic, RMQNaive, 195708, 10    , 6.7   , 21    , 0.0   , 0.01  , 0.01  , 0.01  
RMQHeuristic, RMQNaive, 195708, 11    , 8.0   , 11    , 0.0   , 0.00  , 0.00  , 0.01  

RMQHeuristic, RMQNaive, 142941, 2     , 1.6   , 2554  , 3.5   , 1.05  , 1.07  , 12.86 
RMQHeuristic, RMQNaive, 142941, 3     , 1.9   , 2553  , 1.2   , 1.12  , 1.13  , 1.20  
RMQHeuristic, RMQNaive, 142941, 4     , 2.2   , 2240  , 1.0   , 0.94  , 0.95  , 1.02  
RMQHeuristic, RMQNaive, 142941, 5     , 2.7   , 1854  , 0.6   , 0.44  , 0.72  , 0.84  
RMQHeuristic, RMQNaive, 142941, 6     , 3.2   , 1471  , 0.3   , 0.34  , 0.34  , 0.36  
RMQHeuristic, RMQNaive, 142941, 7     , 3.9   , 1055  , 0.4   , 0.24  , 0.26  , 0.78  
RMQHeuristic, RMQNaive, 142941, 8     , 4.7   , 722   , 0.2   , 0.16  , 0.16  , 0.18  
RMQHeuristic, RMQNaive, 142941, 9     , 5.6   , 480   , 0.1   , 0.09  , 0.09  , 0.10  
RMQHeuristic, RMQNaive, 142941, 10    , 6.7   , 292   , 0.1   , 0.05  , 0.05  , 0.06  
RMQHeuristic, RMQNaive, 142941, 11    , 8.0   , 176   , 0.0   , 0.03  , 0.03  , 0.04  

RMQHeuristic, RMQNaive, 137257, 2     , 1.6   , 294   , 0.1   , 0.10  , 0.10  , 0.17  
RMQHeuristic, RMQNaive, 137257, 3     , 1.9   , 363   , 0.2   , 0.13  , 0.14  , 0.21  
RMQHeuristic, RMQNaive, 137257, 4     , 2.2   , 361   , 0.1   , 0.12  , 0.12  , 0.14  
RMQHeuristic, RMQNaive, 137257, 5     , 2.7   , 311   , 0.1   , 0.11  , 0.11  , 0.16  
RMQHeuristic, RMQNaive, 137257, 6     , 3.2   , 256   , 0.1   , 0.09  , 0.09  , 0.10  
RMQHeuristic, RMQNaive, 137257, 7     , 3.9   , 199   , 0.1   , 0.06  , 0.06  , 0.07  
RMQHeuristic, RMQNaive, 137257, 8     , 4.7   , 163   , 0.0   , 0.05  , 0.05  , 0.06  
RMQHeuristic, RMQNaive, 137257, 9     , 5.6   , 112   , 0.0   , 0.03  , 0.03  , 0.04  
RMQHeuristic, RMQNaive, 137257, 10    , 6.7   , 74    , 0.0   , 0.02  , 0.02  , 0.03  
RMQHeuristic, RMQNaive, 137257, 11    , 8.0   , 60    , 0.0   , 0.01  , 0.01  , 0.03  

RMQHeuristic, RMQNaive, 179443, 2     , 1.6   , 360   , 0.2   , 0.14  , 0.14  , 0.23  
RMQHeuristic, RMQNaive, 179443, 3     , 1.9   , 405   , 0.2   , 0.14  , 0.15  , 0.19  
RMQHeuristic, RMQNaive, 179443, 4     , 2.2   , 383   , 0.1   , 0.14  , 0.14  , 0.18  
RMQHeuristic, RMQNaive, 179443, 5     , 2.7   , 325   , 0.1   , 0.11  , 0.12  , 0.13  
RMQHeuristic, RMQNaive, 179443, 6     , 3.2   , 255   , 0.1   , 0.08  , 0.08  , 0.09  
RMQHeuristic, RMQNaive, 179443, 7     , 3.9   , 174   , 0.0   , 0.05  , 0.05  , 0.06  
RMQHeuristic, RMQNaive, 179443, 8     , 4.7   , 116   , 0.0   , 0.03  , 0.03  , 0.04  
RMQHeuristic, RMQNaive, 179443, 9     , 5.6   , 81    , 0.0   , 0.02  , 0.02  , 0.02  
RMQHeuristic, RMQNaive, 179443, 10    , 6.7   , 47    , 0.0   , 0.01  , 0.01  , 0.02  
RMQHeuristic, RMQNaive, 179443, 11    , 8.0   , 25    , 0.0   , 0.01  , 0.01  , 0.01  

RMQHeuristic, RMQNaive, 177631, 2     , 1.6   , 407   , 0.2   , 0.15  , 0.15  , 0.23  
RMQHeuristic, RMQNaive, 177631, 3     , 1.9   , 433   , 0.4   , 0.19  , 0.19  , 1.00  
RMQHeuristic, RMQNaive, 177631, 4     , 2.2   , 400   , 0.2   , 0.17  , 0.17  , 0.21  
RMQHeuristic, RMQNaive, 177631, 5     , 2.7   , 325   , 0.1   , 0.11  , 0.12  , 0.15  
RMQHeuristic, RMQNaive, 177631, 6     , 3.2   , 277   , 0.1   , 0.10  , 0.10  , 0.11  
RMQHeuristic, RMQNaive, 177631, 7     , 3.9   , 210   , 0.1   , 0.07  , 0.07  , 0.09  
RMQHeuristic, RMQNaive, 177631, 8     , 4.7   , 153   , 0.0   , 0.04  , 0.04  , 0.06  
RMQHeuristic, RMQNaive, 177631, 9     , 5.6   , 124   , 0.0   , 0.03  , 0.03  , 0.04  
