Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RMQSt, 191672, 2     , 1.6   , 105   , 5.0   , 3.30  , 6.01  , 6.12  
RMQHeuristic, RMQSt, 191672, 3     , 1.9   , 111   , 4.5   , 3.85  , 3.88  , 6.27  
RMQHeuristic, RMQSt, 191672, 4     , 2.2   , 97    , 4.4   , 4.27  , 4.30  , 4.66  
RMQHeuristic, RMQSt, 191672, 5     , 2.7   , 79    , 4.9   , 4.94  , 4.94  , 4.97  
RMQHeuristic, RMQSt, 191672, 6     , 3.2   , 67    , 5.7   , 5.45  , 5.53  , 6.32  
RMQHeuristic, RMQSt, 191672, 7     , 3.9   , 49    , 6.1   , 5.99  , 6.05  , 6.35  
RMQHeuristic, RMQSt, 191672, 8     , 4.7   , 35    , 6.7   , 6.56  , 6.61  , 7.06  
RMQHeuristic, RMQSt, 191672, 9     , 5.6   , 15    , 10.4  , 10.29 , 10.32 , 10.63 
RMQHeuristic, RMQSt, 191672, 10    , 6.7   , 13    , 9.7   , 9.58  , 9.62  , 9.91  
RMQHeuristic, RMQSt, 191672, 11    , 8.0   , 9     , 10.5  , 10.27 , 10.48 , 10.93 

RMQHeuristic, RMQSt, 195708, 2     , 1.6   , 92    , 5.2   , 3.37  , 5.25  , 7.49  
RMQHeuristic, RMQSt, 195708, 3     , 1.9   , 81    , 4.1   , 3.94  , 3.96  , 4.45  
RMQHeuristic, RMQSt, 195708, 4     , 2.2   , 87    , 4.4   , 4.35  , 4.39  , 4.47  
RMQHeuristic, RMQSt, 195708, 5     , 2.7   , 81    , 5.2   , 5.05  , 5.08  , 5.56  
RMQHeuristic, RMQSt, 195708, 6     , 3.2   , 74    , 5.6   , 5.55  , 5.58  , 5.88  
RMQHeuristic, RMQSt, 195708, 7     , 3.9   , 60    , 6.4   , 6.11  , 6.14  , 7.20  
RMQHeuristic, RMQSt, 195708, 8     , 4.7   , 59    , 6.8   , 6.72  , 6.74  , 7.21  
RMQHeuristic, RMQSt, 195708, 9     , 5.6   , 40    , 10.3  , 9.99  , 10.24 , 10.69 
RMQHeuristic, RMQSt, 195708, 10    , 6.7   , 21    , 9.9   , 9.58  , 9.79  , 10.32 
RMQHeuristic, RMQSt, 195708, 11    , 8.0   , 11    , 10.6  , 10.43 , 10.47 , 11.01 

RMQHeuristic, RMQSt, 142941, 2     , 1.6   , 2554  , 4.0   , 2.51  , 4.59  , 4.63  
RMQHeuristic, RMQSt, 142941, 3     , 1.9   , 2553  , 2.9   , 2.93  , 2.93  , 2.96  
RMQHeuristic, RMQSt, 142941, 4     , 2.2   , 2240  , 3.9   , 3.24  , 3.68  , 5.17  
RMQHeuristic, RMQSt, 142941, 5     , 2.7   , 1854  , 3.7   , 3.71  , 3.72  , 3.75  
RMQHeuristic, RMQSt, 142941, 6     , 3.2   , 1471  , 4.3   , 4.08  , 4.10  , 4.85  
RMQHeuristic, RMQSt, 142941, 7     , 3.9   , 1055  , 4.6   , 4.48  , 4.50  , 5.09  
RMQHeuristic, RMQSt, 142941, 8     , 4.7   , 722   , 4.9   , 4.88  , 4.90  , 4.91  
RMQHeuristic, RMQSt, 142941, 9     , 5.6   , 480   , 7.8   , 7.66  , 7.70  , 8.38  
