Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RMQSt, 191672, 2     , 1.6   , 105   , 21.9  , 20.35 , 20.49 , 27.60 
RMQHeuristic, RMQSt, 191672, 3     , 1.9   , 111   , 15.9  , 15.75 , 15.79 , 16.07 
RMQHeuristic, RMQSt, 191672, 4     , 2.2   , 97    , 23.3  , 22.90 , 23.15 , 23.66 
RMQHeuristic, RMQSt, 191672, 5     , 2.7   , 79    , 23.5  , 23.44 , 23.51 , 23.73 
RMQHeuristic, RMQSt, 191672, 6     , 3.2   , 67    , 23.4  , 23.30 , 23.42 , 23.66 
RMQHeuristic, RMQSt, 191672, 7     , 3.9   , 49    , 16.7  , 15.88 , 16.14 , 18.95 
RMQHeuristic, RMQSt, 191672, 8     , 4.7   , 35    , 23.5  , 23.41 , 23.48 , 23.69 
RMQHeuristic, RMQSt, 191672, 9     , 5.6   , 15    , 24.8  , 23.88 , 24.08 , 26.66 
RMQHeuristic, RMQSt, 191672, 10    , 6.7   , 13    , 27.2  , 25.41 , 26.91 , 29.36 
RMQHeuristic, RMQSt, 191672, 11    , 8.0   , 9     , 23.8  , 23.63 , 23.77 , 23.98 

RMQHeuristic, RMQSt, 195708, 2     , 1.6   , 92    , 26.6  , 24.94 , 25.15 , 32.30 
RMQHeuristic, RMQSt, 195708, 3     , 1.9   , 81    , 17.7  , 17.52 , 17.57 , 17.82 
RMQHeuristic, RMQSt, 195708, 4     , 2.2   , 87    , 24.9  , 24.86 , 24.91 , 25.04 
RMQHeuristic, RMQSt, 195708, 5     , 2.7   , 81    , 25.5  , 25.34 , 25.41 , 25.84 
RMQHeuristic, RMQSt, 195708, 6     , 3.2   , 74    , 25.4  , 25.19 , 25.42 , 25.51 
RMQHeuristic, RMQSt, 195708, 7     , 3.9   , 60    , 18.2  , 17.67 , 18.34 , 18.63 
RMQHeuristic, RMQSt, 195708, 8     , 4.7   , 59    , 24.7  , 24.59 , 24.76 , 24.80 
RMQHeuristic, RMQSt, 195708, 9     , 5.6   , 40    , 25.1  , 24.99 , 25.08 , 25.23 
RMQHeuristic, RMQSt, 195708, 10    , 6.7   , 21    , 24.9  , 24.83 , 24.88 , 25.06 
RMQHeuristic, RMQSt, 195708, 11    , 8.0   , 11    , 24.7  , 24.50 , 24.68 , 24.86 

RMQHeuristic, RMQSt, 142941, 2     , 1.6   , 2554  , 19.9  , 18.19 , 18.37 , 25.62 
RMQHeuristic, RMQSt, 142941, 3     , 1.9   , 2553  , 13.1  , 12.95 , 12.98 , 13.37 
RMQHeuristic, RMQSt, 142941, 4     , 2.2   , 2240  , 18.3  , 18.07 , 18.19 , 19.18 
RMQHeuristic, RMQSt, 142941, 5     , 2.7   , 1854  , 19.6  , 18.48 , 19.04 , 21.10 
RMQHeuristic, RMQSt, 142941, 6     , 3.2   , 1471  , 18.5  , 18.36 , 18.52 , 18.71 
RMQHeuristic, RMQSt, 142941, 7     , 3.9   , 1055  , 12.9  , 12.82 , 12.88 , 12.99 
RMQHeuristic, RMQSt, 142941, 8     , 4.7   , 722   , 18.2  , 18.02 , 18.14 , 18.82 
RMQHeuristic, RMQSt, 142941, 9     , 5.6   , 480   , 18.2  , 18.14 , 18.18 , 18.34 
RMQHeuristic, RMQSt, 142941, 10    , 6.7   , 292   , 18.2  , 18.06 , 18.14 , 18.38 
RMQHeuristic, RMQSt, 142941, 11    , 8.0   , 176   , 18.0  , 17.95 , 17.96 , 18.09 

RMQHeuristic, RMQSt, 137257, 2     , 1.6   , 294   , 18.9  , 17.49 , 17.91 , 23.34 
RMQHeuristic, RMQSt, 137257, 3     , 1.9   , 363   , 12.6  , 12.30 , 12.44 , 13.52 
RMQHeuristic, RMQSt, 137257, 4     , 2.2   , 361   , 17.5  , 17.36 , 17.45 , 17.63 
RMQHeuristic, RMQSt, 137257, 5     , 2.7   , 311   , 18.2  , 17.65 , 17.79 , 20.05 
RMQHeuristic, RMQSt, 137257, 6     , 3.2   , 256   , 17.7  , 17.56 , 17.64 , 17.79 
RMQHeuristic, RMQSt, 137257, 7     , 3.9   , 199   , 12.4  , 12.30 , 12.32 , 12.55 
RMQHeuristic, RMQSt, 137257, 8     , 4.7   , 163   , 17.2  , 17.14 , 17.18 , 17.42 
RMQHeuristic, RMQSt, 137257, 9     , 5.6   , 112   , 17.5  , 17.46 , 17.52 , 17.61 
RMQHeuristic, RMQSt, 137257, 10    , 6.7   , 74    , 17.4  , 17.34 , 17.39 , 17.58 
RMQHeuristic, RMQSt, 137257, 11    , 8.0   , 60    , 17.3  , 17.16 , 17.29 , 17.36 

RMQHeuristic, RMQSt, 179443, 2     , 1.6   , 360   , 24.3  , 23.17 , 23.33 , 28.30 
RMQHeuristic, RMQSt, 179443, 3     , 1.9   , 405   , 16.0  , 15.97 , 16.00 , 16.10 
RMQHeuristic, RMQSt, 179443, 4     , 2.2   , 383   , 23.0  , 22.83 , 23.07 , 23.22 
RMQHeuristic, RMQSt, 179443, 5     , 2.7   , 325   , 23.5  , 23.39 , 23.51 , 23.58 
RMQHeuristic, RMQSt, 179443, 6     , 3.2   , 255   , 23.6  , 23.32 , 23.49 , 24.01 
RMQHeuristic, RMQSt, 179443, 7     , 3.9   , 174   , 16.1  , 15.90 , 16.03 , 16.33 
RMQHeuristic, RMQSt, 179443, 8     , 4.7   , 116   , 22.7  , 22.56 , 22.69 , 22.83 
RMQHeuristic, RMQSt, 179443, 9     , 5.6   , 81    , 23.0  , 22.94 , 23.05 , 23.16 
RMQHeuristic, RMQSt, 179443, 10    , 6.7   , 47    , 23.1  , 22.96 , 23.07 , 23.21 
RMQHeuristic, RMQSt, 179443, 11    , 8.0   , 25    , 24.6  , 22.66 , 23.12 , 27.41 

RMQHeuristic, RMQSt, 177631, 2     , 1.6   , 407   , 23.8  , 22.97 , 23.20 , 26.73 
RMQHeuristic, RMQSt, 177631, 3     , 1.9   , 433   , 15.9  , 15.82 , 15.87 , 16.02 
RMQHeuristic, RMQSt, 177631, 4     , 2.2   , 400   , 22.8  , 22.70 , 22.78 , 22.86 
RMQHeuristic, RMQSt, 177631, 5     , 2.7   , 325   , 23.2  , 23.16 , 23.20 , 23.32 
RMQHeuristic, RMQSt, 177631, 6     , 3.2   , 277   , 23.8  , 23.06 , 23.33 , 26.19 
RMQHeuristic, RMQSt, 177631, 7     , 3.9   , 210   , 17.1  , 15.84 , 16.26 , 19.03 
RMQHeuristic, RMQSt, 177631, 8     , 4.7   , 153   , 22.6  , 22.33 , 22.44 , 23.21 
RMQHeuristic, RMQSt, 177631, 9     , 5.6   , 124   , 23.1  , 22.79 , 22.90 , 24.08 
RMQHeuristic, RMQSt, 177631, 10    , 6.7   , 99    , 22.9  , 22.72 , 22.87 , 23.21 
RMQHeuristic, RMQSt, 177631, 11    , 8.0   , 47    , 22.6  , 22.47 , 22.58 , 22.93 
