Serie,t,d,ans,min,med,max,av_time
1,204,1.04756e+06,87,0.152,0.155,0.481,0.1947
1,404,1.04754e+06,170,0.365,0.387,0.685,0.4143
1,604,1.04752e+06,305,0.921,0.992,1.028,0.9771
1,804,1.0475e+06,419,1.447,1.48,1.576,1.4931
1,1004,1.04748e+06,530,1.817,1.894,2.018,1.8922
1,1204,1.04746e+06,686,2.252,2.283,2.381,2.2893
1,1404,1.04744e+06,815,2.594,2.672,2.886,2.6863
1,1604,1.04742e+06,982,2.993,3.038,3.172,3.0572
1,1804,1.0474e+06,1165,3.391,3.457,3.587,3.4741
1,2004,1.04738e+06,1340,3.776,3.794,3.921,3.8165
2,204,2.09613e+06,59,0.109,0.11,0.361,0.136
2,404,2.09611e+06,123,0.269,0.273,0.487,0.3003
2,604,2.09609e+06,186,0.527,0.537,0.792,0.5672
2,804,2.09607e+06,249,0.87,0.919,1.185,0.9526
2,1004,2.09605e+06,328,1.267,1.329,1.606,1.3669
2,1204,2.09603e+06,394,1.589,1.625,1.685,1.6295
2,1404,2.09601e+06,464,1.912,1.975,2.107,1.9715
2,1604,2.09599e+06,538,2.165,2.211,2.376,2.2195
2,1804,2.09597e+06,623,2.434,2.468,2.658,2.4981
2,2004,2.09595e+06,723,2.744,2.778,2.836,2.7835
3,204,3.14471e+06,42,0.079,0.08,0.266,0.0983
3,404,3.14469e+06,79,0.153,0.157,0.311,0.1741
3,604,3.14467e+06,121,0.254,0.262,0.417,0.2769
3,804,3.14465e+06,143,0.361,0.372,0.502,0.3976
3,1004,3.14463e+06,176,0.518,0.549,0.651,0.5465
3,1204,3.14461e+06,226,0.778,0.802,0.88,0.8137
3,1404,3.14459e+06,280,1.141,1.166,1.215,1.1713
3,1604,3.14457e+06,350,1.51,1.534,1.559,1.5308
3,1804,3.14455e+06,408,1.758,1.784,1.82,1.7872
3,2004,3.14453e+06,466,1.997,2.043,2.14,2.047
4,204,4.19328e+06,21,0.04,0.04,0.144,0.0505
4,404,4.19326e+06,42,0.082,0.083,0.188,0.0932
4,604,4.19324e+06,70,0.135,0.135,0.263,0.1482
4,804,4.19322e+06,107,0.228,0.241,0.399,0.2533
4,1004,4.1932e+06,143,0.378,0.401,0.665,0.427
4,1204,4.19318e+06,166,0.489,0.505,0.611,0.5142
4,1404,4.19316e+06,211,0.711,0.73,0.807,0.7393
4,1604,4.19314e+06,261,1.033,1.089,1.127,1.0773
4,1804,4.19312e+06,307,1.277,1.356,1.556,1.3865
4,2004,4.1931e+06,355,1.618,1.758,1.862,1.7424
5,204,5.24186e+06,20,0.038,0.038,0.134,0.0477
5,404,5.24184e+06,46,0.091,0.092,0.222,0.1049
5,604,5.24182e+06,67,0.13,0.131,0.238,0.1413
5,804,5.2418e+06,92,0.188,0.19,0.36,0.2084
5,1004,5.24178e+06,121,0.279,0.282,0.403,0.2958
5,1204,5.24176e+06,147,0.398,0.41,0.742,0.4474
5,1404,5.24174e+06,180,0.579,0.593,0.724,0.6089
5,1604,5.24172e+06,226,0.883,0.903,0.95,0.9064
5,1804,5.2417e+06,259,1.094,1.109,1.189,1.1207
5,2004,5.24168e+06,296,1.319,1.36,1.373,1.3478
