Serie,t,d,ans,min,med,max,av_time
1,204,1.04756e+06,87,121.579,126.071,128.787,125.199
1,404,1.04754e+06,170,123.241,123.597,151.158,126.33
1,604,1.04752e+06,305,124.273,127.002,137.452,127.51
1,804,1.0475e+06,419,123.913,132.182,165.595,139.36
1,1004,1.04748e+06,530,118.511,123.623,131.464,123.94
1,1204,1.04746e+06,686,125.042,126.913,137.088,127.658
1,1404,1.04744e+06,815,123.797,127.453,152.422,129.768
1,1604,1.04742e+06,982,123.463,124.794,146.223,129.506
1,1804,1.0474e+06,1165,122.649,123.3,146.032,128.925
1,2004,1.04738e+06,1340,119.199,119.282,120.059,119.394
2,204,2.09613e+06,59,251.451,254.76,260.716,254.329
2,404,2.09611e+06,123,245.073,247.084,253.101,247.783
2,604,2.09609e+06,186,251.257,297.573,340.778,287.953
2,804,2.09607e+06,249,258.999,291.678,300.026,284.254
2,1004,2.09605e+06,328,239.076,239.839,248.132,242.044
2,1204,2.09603e+06,394,243.62,245.419,255.837,247.802
2,1404,2.09601e+06,464,241.272,241.891,269.293,245.881
2,1604,2.09599e+06,538,237.664,247.117,273.668,247.9
2,1804,2.09597e+06,623,246.636,247.524,257.272,250.01
2,2004,2.09595e+06,723,247.562,248.806,271.191,253.238
3,204,3.14471e+06,42,367.8,378.395,386.425,376.783
3,404,3.14469e+06,79,369.588,371.867,376.989,371.927
3,604,3.14467e+06,121,376.68,377.92,392.983,379.573
3,804,3.14465e+06,143,365.141,376.304,383.2,375.045
3,1004,3.14463e+06,176,357.172,370.613,388.329,369.755
3,1204,3.14461e+06,226,363.319,363.669,365.814,363.87
3,1404,3.14459e+06,280,359.956,374.089,408.106,374.29
3,1604,3.14457e+06,350,354.386,361.233,389.407,362.71
3,1804,3.14455e+06,408,356.333,401.027,456.998,403.993
3,2004,3.14453e+06,466,357.445,384.232,492.246,391.295
4,204,4.19328e+06,21,484.34,538.918,630.506,545.076
4,404,4.19326e+06,42,497.471,533.627,591.861,535.378
4,604,4.19324e+06,70,520.386,548.377,701.876,565.911
4,804,4.19322e+06,107,516.541,541.939,622.427,550.808
4,1004,4.1932e+06,143,528.252,566.401,587.28,565.203
4,1204,4.19318e+06,166,531.557,543.882,582.007,546.132
4,1404,4.19316e+06,211,531.127,541.857,578.35,544.042
4,1604,4.19314e+06,261,531.745,539.288,542.668,538.439
4,1804,4.19312e+06,307,522.815,540.668,558.29,538.761
4,2004,4.1931e+06,355,534.052,549.339,569.842,551.167
