Serie,t,d,ans,min,med,max,av_time
1,2,1.3,320,0.15,0.16,1.093,0.268
1,3,1.69,732,0.303,0.307,0.636,0.3503
1,4,2.197,258,0.087,0.088,0.122,0.0919
1,5,2.8561,402,0.12,0.121,0.148,0.1234
1,6,3.71293,178,0.048,0.048,0.065,0.0497
1,7,4.82681,94,0.025,0.026,0.033,0.0265
1,8,6.27485,48,0.012,0.013,0.018,0.0131
1,9,8.15731,0,0.001,0.001,0.002,0.0012
1,10,10.6045,0,0.001,0.001,0.002,0.0014
1,11,13.7858,0,0.001,0.001,0.002,0.0013
2,2,1.3,333,0.154,0.159,2.484,0.4066
2,3,1.69,732,0.294,0.297,0.577,0.3275
2,4,2.197,232,0.078,0.079,0.107,0.0821
2,5,2.8561,360,0.109,0.11,0.135,0.1123
2,6,3.71293,211,0.056,0.056,0.069,0.0585
2,7,4.82681,143,0.034,0.034,0.043,0.0351
2,8,6.27485,17,0.006,0.006,0.01,0.0066
2,9,8.15731,0,0.001,0.001,0.002,0.0014
2,10,10.6045,0,0.001,0.001,0.002,0.0012
2,11,13.7858,0,0.001,0.001,0.002,0.0014
3,2,1.3,9260,4.577,4.607,5.886,4.7351
3,3,1.69,17426,6.796,6.95,7.034,6.9334
3,4,2.197,5641,2.784,2.83,2.958,2.8331
3,5,2.8561,8616,3.703,3.736,3.853,3.7417
3,6,3.71293,3823,1.742,1.771,1.9,1.7795
3,7,4.82681,2310,0.839,0.853,1.084,0.8822
3,8,6.27485,732,0.232,0.234,0.28,0.2411
3,9,8.15731,285,0.088,0.088,0.206,0.1003
3,10,10.6045,174,0.051,0.052,0.059,0.0524
3,11,13.7858,96,0.026,0.026,0.032,0.0267
4,2,1.3,914,0.408,0.413,4.073,0.7901
4,3,1.69,2158,1.012,1.055,1.122,1.0537
4,4,2.197,960,0.334,0.343,0.472,0.3557
4,5,2.8561,1518,0.49,0.544,0.71,0.574
4,6,3.71293,849,0.248,0.249,0.338,0.2593
4,7,4.82681,532,0.139,0.14,0.157,0.1414
4,8,6.27485,190,0.048,0.049,0.056,0.0492
4,9,8.15731,165,0.035,0.036,0.04,0.036
4,10,10.6045,100,0.021,0.022,0.027,0.022
4,11,13.7858,66,0.008,0.009,0.012,0.0089
5,2,1.3,1515,0.911,0.935,3.534,1.2035
5,3,1.69,3392,1.837,1.941,2.006,1.9399
5,4,2.197,948,0.354,0.362,0.569,0.3982
5,5,2.8561,1529,0.557,0.577,0.7,0.587
5,6,3.71293,764,0.223,0.223,0.273,0.2282
5,7,4.82681,419,0.113,0.114,0.133,0.1156
5,8,6.27485,128,0.033,0.034,0.045,0.035
5,9,8.15731,63,0.013,0.014,0.018,0.0142
5,10,10.6045,47,0.008,0.008,0.012,0.0087
5,11,13.7858,0,0.001,0.001,0.002,0.0012
6,2,1.3,1550,0.869,0.915,1.488,0.9673
6,3,1.69,3435,1.836,1.899,1.939,1.8977
6,4,2.197,879,0.33,0.332,0.559,0.3575
6,5,2.8561,1419,0.499,0.513,0.59,0.5207
6,6,3.71293,654,0.193,0.194,0.234,0.2
6,7,4.82681,399,0.105,0.105,0.122,0.1068
6,8,6.27485,166,0.041,0.041,0.049,0.0424
6,9,8.15731,47,0.015,0.016,0.022,0.0162
6,10,10.6045,26,0.007,0.007,0.009,0.0072
6,11,13.7858,0,0.001,0.001,0.002,0.0012
