Serie,t,d,ans,min,med,max,av_time
1,2,1.3,320,5.612,5.633,5.646,5.6284
1,3,1.69,732,6.223,6.25,6.273,6.2454
1,4,2.197,258,6.674,6.698,6.714,6.6944
1,5,2.8561,402,8.786,8.81,8.83,8.8099
1,6,3.71293,178,11.125,11.133,11.15,11.1349
1,7,4.82681,94,12.306,12.315,12.342,12.3201
1,8,6.27485,48,13.025,13.032,13.056,13.0353
1,9,8.15731,0,13.54,13.55,13.57,13.5513
1,10,10.6045,0,14.082,14.088,14.111,14.0938
1,11,13.7858,0,14.564,14.585,14.592,14.5797
2,2,1.3,333,5.716,5.741,5.751,5.7337
2,3,1.69,732,6.334,6.361,6.378,6.3555
2,4,2.197,232,6.789,6.816,6.85,6.8123
2,5,2.8561,360,8.911,8.939,8.949,8.9346
2,6,3.71293,211,11.294,11.3,11.326,11.3017
2,7,4.82681,143,12.574,12.584,12.61,12.5852
2,8,6.27485,17,13.319,13.341,13.691,13.3694
2,9,8.15731,0,13.851,13.873,13.879,13.8658
2,10,10.6045,0,14.423,14.432,14.448,14.4336
2,11,13.7858,0,14.927,14.948,14.958,14.9409
3,2,1.3,9260,4.486,4.507,4.519,4.5024
3,3,1.69,17426,5.235,5.258,5.281,5.2536
3,4,2.197,5641,5.169,5.193,5.199,5.1862
3,5,2.8561,8616,7.028,7.051,7.072,7.0479
3,6,3.71293,3823,8.478,8.504,8.516,8.5004
3,7,4.82681,2310,9.197,9.201,9.207,9.2005
3,8,6.27485,732,9.56,9.577,9.585,9.5758
3,9,8.15731,285,9.893,9.901,9.94,9.9098
3,10,10.6045,174,10.265,10.272,10.274,10.2711
3,11,13.7858,96,10.59,10.595,10.618,10.5969
4,2,1.3,914,4.043,4.06,4.073,4.0547
4,3,1.69,2158,4.509,4.529,4.541,4.524
4,4,2.197,960,4.807,4.825,4.85,4.8208
4,5,2.8561,1518,6.34,6.366,6.388,6.3598
4,6,3.71293,849,8.014,8.034,8.051,8.0339
4,7,4.82681,532,8.859,8.879,8.907,8.8789
4,8,6.27485,190,9.372,9.376,9.39,9.3776
4,9,8.15731,165,9.74,9.75,9.782,9.751
4,10,10.6045,100,10.128,10.135,10.144,10.1336
4,11,13.7858,66,10.471,10.478,10.49,10.4775
5,2,1.3,1515,5.294,5.317,5.342,5.3114
5,3,1.69,3392,5.913,5.941,5.953,5.9333
5,4,2.197,948,6.265,6.29,6.354,6.2894
5,5,2.8561,1529,8.351,8.377,8.39,8.3738
5,6,3.71293,764,10.486,10.489,10.508,10.492
5,7,4.82681,419,11.492,11.496,11.518,11.5003
5,8,6.27485,128,12.1,12.104,12.128,12.1079
5,9,8.15731,63,12.538,12.545,12.565,12.5485
5,10,10.6045,47,13.024,13.031,13.051,13.035
5,11,13.7858,0,13.451,13.456,13.474,13.4591
6,2,1.3,1550,5.231,5.255,5.274,5.2479
6,3,1.69,3435,5.84,5.868,5.877,5.8591
6,4,2.197,879,6.19,6.213,6.239,6.2112
6,5,2.8561,1419,8.222,8.246,8.266,8.2449
6,6,3.71293,654,10.358,10.36,10.377,10.3619
6,7,4.82681,399,11.411,11.438,11.564,11.4417
6,8,6.27485,166,12.038,12.048,12.075,12.0496
6,9,8.15731,47,12.498,12.502,12.524,12.5058
6,10,10.6045,26,12.995,13,13.035,13.0058
6,11,13.7858,0,13.441,13.452,13.467,13.4538
