Serie,t,d,ans,min,med,max,av_time
1,2,1.3,320,22.05,22.153,22.289,22.1512
1,3,1.69,732,15.092,15.108,15.217,15.1222
1,4,2.197,258,21.062,21.122,21.829,21.3512
1,5,2.8561,402,22.281,22.31,22.527,22.3285
1,6,3.71293,178,22.707,22.754,22.787,22.7424
1,7,4.82681,94,14.485,14.606,14.664,14.5862
1,8,6.27485,48,20.916,20.958,21.367,21.0021
1,9,8.15731,0,21.816,21.853,22.15,21.9073
1,10,10.6045,0,22.224,22.261,22.33,22.2674
1,11,13.7858,0,22.435,22.47,22.816,22.5316
2,2,1.3,333,24.638,24.68,24.775,24.684
2,3,1.69,732,16.137,16.196,16.288,16.1947
2,4,2.197,232,24.097,24.145,24.329,24.1651
2,5,2.8561,360,24.494,24.556,24.604,24.558
2,6,3.71293,211,24.426,24.518,24.886,24.5707
2,7,4.82681,143,16.048,16.135,16.199,16.1262
2,8,6.27485,17,23.645,23.692,23.726,23.6816
2,9,8.15731,0,23.998,24.026,24.23,24.0564
2,10,10.6045,0,23.97,24.021,26.292,24.2359
2,11,13.7858,0,23.981,24.021,24.053,24.016
3,2,1.3,9260,16.421,16.471,16.595,16.478
3,3,1.69,17426,11.78,11.799,12.488,11.9766
3,4,2.197,5641,16.595,16.663,17.052,16.6948
3,5,2.8561,8616,17.99,18.017,18.074,18.0205
3,6,3.71293,3823,17.886,17.922,18.037,17.929
3,7,4.82681,2310,10.805,10.853,11.317,10.9042
3,8,6.27485,732,15.843,15.9,15.983,15.9033
3,9,8.15731,285,16.018,16.081,16.727,16.2509
3,10,10.6045,174,16.369,16.405,16.445,16.3993
3,11,13.7858,96,16.453,16.501,16.761,16.5229
4,2,1.3,914,14.951,15.004,15.213,15.0201
4,3,1.69,2158,11.076,11.1,11.123,11.0984
4,4,2.197,960,16.799,16.85,17.204,16.8808
4,5,2.8561,1518,17.347,17.377,17.412,17.3782
4,6,3.71293,849,17.305,17.337,17.457,17.345
4,7,4.82681,532,10.86,10.892,10.932,10.895
4,8,6.27485,190,16.394,16.422,16.486,16.4248
4,9,8.15731,165,16.802,16.838,16.94,16.8442
4,10,10.6045,100,16.832,16.867,17.037,16.8789
4,11,13.7858,66,16.715,16.743,16.776,16.7468
5,2,1.3,1515,22.55,22.602,22.773,22.6041
5,3,1.69,3392,15.208,15.273,15.775,15.3065
5,4,2.197,948,22.036,22.064,22.19,22.0759
5,5,2.8561,1529,22.686,22.718,22.816,22.7287
5,6,3.71293,764,22.613,22.653,22.681,22.6462
5,7,4.82681,419,15.449,15.52,15.621,15.508
5,8,6.27485,128,22.272,22.312,22.362,22.3083
5,9,8.15731,63,22.793,22.831,22.995,22.8406
5,10,10.6045,47,22.828,22.856,23.001,22.8742
5,11,13.7858,0,22.025,22.097,22.863,22.2912
6,2,1.3,1550,19.722,19.749,19.895,19.7596
6,3,1.69,3435,14.613,14.686,15.095,14.7213
6,4,2.197,879,21.635,21.663,21.767,21.6745
6,5,2.8561,1419,22.228,22.295,22.341,22.2902
6,6,3.71293,654,22.177,22.221,22.391,22.2488
6,7,4.82681,399,14.296,14.325,14.402,14.3323
6,8,6.27485,166,21.171,21.218,21.264,21.2112
6,9,8.15731,47,21.64,21.718,21.854,21.7118
6,10,10.6045,26,21.683,21.725,22.151,21.7735
6,11,13.7858,0,21.659,21.704,21.795,21.7044
