Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
F-pairs, RMQNaive, 191672, 3     , 1.6   , 436   , 1.3   , 0.67  , 0.96  , 2.79  
F-pairs, RMQNaive, 191672, 5     , 1.9   , 959   , 2.3   , 1.57  , 2.20  , 3.10  
F-pairs, RMQNaive, 191672, 7     , 2.2   , 262   , 0.5   , 0.41  , 0.52  , 0.66  
F-pairs, RMQNaive, 191672, 9     , 2.7   , 369   , 0.8   , 0.57  , 0.61  , 1.18  
F-pairs, RMQNaive, 191672, 11    , 3.2   , 155   , 0.2   , 0.19  , 0.20  , 0.32  
F-pairs, RMQNaive, 191672, 13    , 3.9   , 184   , 0.3   , 0.26  , 0.27  , 0.38  
F-pairs, RMQNaive, 191672, 15    , 4.7   , 100   , 0.2   , 0.16  , 0.17  , 0.20  
F-pairs, RMQNaive, 191672, 17    , 5.6   , 53    , 0.1   , 0.10  , 0.10  , 0.12  
F-pairs, RMQNaive, 191672, 19    , 6.7   , 39    , 0.1   , 0.09  , 0.09  , 0.36  
F-pairs, RMQNaive, 191672, 21    , 8.0   , 21    , 0.1   , 0.04  , 0.04  , 0.09  
F-pairs, RMQNaive, 191672, 23    , 9.7   , 16    , 0.0   , 0.02  , 0.02  , 0.03  
F-pairs, RMQNaive, 191672, 25    , 11.6  , 0     , 0.0   , 0.00  , 0.00  , 0.00  

F-pairs, RMQNaive, 195708, 3     , 1.6   , 406   , 0.7   , 0.56  , 0.63  , 0.86  
F-pairs, RMQNaive, 195708, 5     , 1.9   , 901   , 1.8   , 1.64  , 1.78  , 1.83  
F-pairs, RMQNaive, 195708, 7     , 2.2   , 215   , 0.4   , 0.37  , 0.38  , 0.50  
F-pairs, RMQNaive, 195708, 9     , 2.7   , 310   , 0.6   , 0.59  , 0.63  , 0.69  
F-pairs, RMQNaive, 195708, 11    , 3.2   , 166   , 0.4   , 0.34  , 0.37  , 0.59  
F-pairs, RMQNaive, 195708, 13    , 3.9   , 201   , 0.7   , 0.24  , 0.44  , 1.94  
F-pairs, RMQNaive, 195708, 15    , 4.7   , 129   , 0.8   , 0.17  , 0.18  , 3.04  
F-pairs, RMQNaive, 195708, 17    , 5.6   , 115   , 0.2   , 0.15  , 0.15  , 0.16  
F-pairs, RMQNaive, 195708, 19    , 6.7   , 62    , 0.1   , 0.07  , 0.07  , 0.09  
F-pairs, RMQNaive, 195708, 21    , 8.0   , 22    , 0.0   , 0.03  , 0.03  , 0.04  
F-pairs, RMQNaive, 195708, 23    , 9.7   , 23    , 0.0   , 0.03  , 0.03  , 0.04  
F-pairs, RMQNaive, 195708, 25    , 11.6  , 25    , 0.0   , 0.04  , 0.04  , 0.04  

F-pairs, RMQNaive, 142941, 3     , 1.6   , 10708 , 9.7   , 7.62  , 8.16  , 13.87 
F-pairs, RMQNaive, 142941, 5     , 1.9   , 17185 , 13.5  , 12.81 , 13.05 , 15.23 
F-pairs, RMQNaive, 142941, 7     , 2.2   , 6032  , 6.6   , 6.36  , 6.49  , 6.92  
F-pairs, RMQNaive, 142941, 9     , 2.7   , 8132  , 9.4   , 8.97  , 9.16  , 10.22 
F-pairs, RMQNaive, 142941, 11    , 3.2   , 3894  , 5.3   , 5.30  , 5.34  , 5.36  
F-pairs, RMQNaive, 142941, 13    , 3.9   , 4796  , 7.0   , 6.88  , 6.98  , 7.31  
F-pairs, RMQNaive, 142941, 15    , 4.7   , 2695  , 4.9   , 4.41  , 4.72  , 5.45  
F-pairs, RMQNaive, 142941, 17    , 5.6   , 1704  , 3.0   , 2.90  , 2.93  , 3.10  
F-pairs, RMQNaive, 142941, 19    , 6.7   , 1097  , 1.8   , 1.79  , 1.81  , 1.96  
F-pairs, RMQNaive, 142941, 21    , 8.0   , 455   , 0.8   , 0.67  , 0.70  , 0.93  
F-pairs, RMQNaive, 142941, 23    , 9.7   , 336   , 0.5   , 0.51  , 0.51  , 0.54  
F-pairs, RMQNaive, 142941, 25    , 11.6  , 147   , 0.2   , 0.24  , 0.24  , 0.26  

F-pairs, RMQNaive, 137257, 3     , 1.6   , 1508  , 2.5   , 2.21  , 2.52  , 2.94  
F-pairs, RMQNaive, 137257, 5     , 1.9   , 3109  , 3.3   , 3.10  , 3.16  , 3.61  
F-pairs, RMQNaive, 137257, 7     , 2.2   , 1036  , 1.3   , 1.19  , 1.40  , 1.48  
F-pairs, RMQNaive, 137257, 9     , 2.7   , 1428  , 2.0   , 1.85  , 2.03  , 2.19  
F-pairs, RMQNaive, 137257, 11    , 3.2   , 709   , 1.0   , 0.92  , 0.93  , 1.08  
F-pairs, RMQNaive, 137257, 13    , 3.9   , 863   , 1.3   , 1.27  , 1.29  , 1.30  
F-pairs, RMQNaive, 137257, 15    , 4.7   , 532   , 0.8   , 0.75  , 0.78  , 0.86  
F-pairs, RMQNaive, 137257, 17    , 5.6   , 382   , 0.6   , 0.59  , 0.59  , 0.63  
F-pairs, RMQNaive, 137257, 19    , 6.7   , 260   , 0.4   , 0.43  , 0.43  , 0.46  
F-pairs, RMQNaive, 137257, 21    , 8.0   , 137   , 0.2   , 0.23  , 0.23  , 0.24  
F-pairs, RMQNaive, 137257, 23    , 9.7   , 113   , 0.2   , 0.19  , 0.19  , 0.20  
F-pairs, RMQNaive, 137257, 25    , 11.6  , 57    , 0.1   , 0.10  , 0.10  , 0.11  

F-pairs, RMQNaive, 179443, 3     , 1.6   , 2260  , 3.6   , 3.03  , 3.60  , 4.06  
F-pairs, RMQNaive, 179443, 5     , 1.9   , 4541  , 4.6   , 4.33  , 4.52  , 5.00  
F-pairs, RMQNaive, 179443, 7     , 2.2   , 1102  , 1.3   , 1.27  , 1.31  , 1.52  
F-pairs, RMQNaive, 179443, 9     , 2.7   , 1596  , 2.1   , 2.04  , 2.06  , 2.09  
F-pairs, RMQNaive, 179443, 11    , 3.2   , 700   , 0.9   , 0.90  , 0.91  , 1.10  
F-pairs, RMQNaive, 179443, 13    , 3.9   , 890   , 1.5   , 1.37  , 1.50  , 1.78  
F-pairs, RMQNaive, 179443, 15    , 4.7   , 425   , 0.6   , 0.54  , 0.55  , 0.69  
F-pairs, RMQNaive, 179443, 17    , 5.6   , 226   , 0.3   , 0.31  , 0.31  , 0.34  
F-pairs, RMQNaive, 179443, 19    , 6.7   , 149   , 0.2   , 0.21  , 0.21  , 0.23  
F-pairs, RMQNaive, 179443, 21    , 8.0   , 50    , 0.1   , 0.08  , 0.08  , 0.09  
F-pairs, RMQNaive, 179443, 23    , 9.7   , 25    , 0.1   , 0.05  , 0.05  , 0.06  
F-pairs, RMQNaive, 179443, 25    , 11.6  , 0     , 0.0   , 0.00  , 0.00  , 0.00  

F-pairs, RMQNaive, 177631, 3     , 1.6   , 2200  , 3.4   , 2.98  , 3.46  , 3.52  
F-pairs, RMQNaive, 177631, 5     , 1.9   , 4411  , 4.4   , 4.24  , 4.38  , 4.72  
F-pairs, RMQNaive, 177631, 7     , 2.2   , 1172  , 1.5   , 1.44  , 1.46  , 1.65  
F-pairs, RMQNaive, 177631, 9     , 2.7   , 1685  , 2.3   , 2.23  , 2.25  , 2.37  
F-pairs, RMQNaive, 177631, 11    , 3.2   , 727   , 1.0   , 0.96  , 1.05  , 1.17  
F-pairs, RMQNaive, 177631, 13    , 3.9   , 916   , 1.9   , 1.58  , 1.73  , 2.64  
F-pairs, RMQNaive, 177631, 15    , 4.7   , 504   , 1.5   , 0.95  , 1.06  , 3.59  
F-pairs, RMQNaive, 177631, 17    , 5.6   , 319   , 0.6   , 0.54  , 0.54  , 0.79  
F-pairs, RMQNaive, 177631, 19    , 6.7   , 262   , 0.4   , 0.44  , 0.44  , 0.48  
F-pairs, RMQNaive, 177631, 21    , 8.0   , 113   , 0.2   , 0.21  , 0.21  , 0.25  
F-pairs, RMQNaive, 177631, 23    , 9.7   , 84    , 0.2   , 0.17  , 0.17  , 0.19  
F-pairs, RMQNaive, 177631, 25    , 11.6  , 35    , 0.1   , 0.08  , 0.08  , 0.09  
