Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
F-pairs, RMQNaive, 191672, 5     , 1.4   , 959   , 2.7   , 2.09  , 2.11  , 4.88  
F-pairs, RMQNaive, 191672, 9     , 1.6   , 2253  , 3.7   , 3.32  , 3.60  , 4.46  
F-pairs, RMQNaive, 191672, 13    , 1.7   , 3794  , 6.3   , 6.19  , 6.37  , 6.43  
F-pairs, RMQNaive, 191672, 17    , 1.9   , 5398  , 9.5   , 9.25  , 9.54  , 10.08 
F-pairs, RMQNaive, 191672, 21    , 2.1   , 1186  , 2.7   , 2.45  , 2.80  , 2.92  
F-pairs, RMQNaive, 191672, 25    , 2.3   , 1477  , 3.5   , 3.39  , 3.44  , 3.84  
F-pairs, RMQNaive, 191672, 29    , 2.5   , 1818  , 4.9   , 4.62  , 4.78  , 5.40  
F-pairs, RMQNaive, 191672, 33    , 2.8   , 2200  , 6.3   , 6.10  , 6.25  , 6.72  
F-pairs, RMQNaive, 191672, 37    , 3.1   , 747   , 2.1   , 2.01  , 2.09  , 2.38  
F-pairs, RMQNaive, 191672, 41    , 3.4   , 861   , 2.5   , 2.52  , 2.54  , 2.59  
F-pairs, RMQNaive, 191672, 45    , 3.7   , 973   , 3.1   , 3.10  , 3.13  , 3.23  
F-pairs, RMQNaive, 191672, 49    , 4.1   , 417   , 1.6   , 1.48  , 1.54  , 1.67  

F-pairs, RMQNaive, 195708, 5     , 1.4   , 901   , 1.5   , 1.39  , 1.40  , 1.91  
F-pairs, RMQNaive, 195708, 9     , 1.6   , 2216  , 3.9   , 2.84  , 3.03  , 7.11  
F-pairs, RMQNaive, 195708, 13    , 1.7   , 3825  , 5.9   , 5.57  , 5.84  , 6.57  
F-pairs, RMQNaive, 195708, 17    , 1.9   , 5680  , 9.0   , 8.94  , 8.98  , 9.14  
F-pairs, RMQNaive, 195708, 21    , 2.1   , 1083  , 2.3   , 1.98  , 2.26  , 2.57  
F-pairs, RMQNaive, 195708, 25    , 2.3   , 1433  , 3.1   , 2.83  , 2.97  , 3.34  
F-pairs, RMQNaive, 195708, 29    , 2.5   , 1793  , 4.1   , 4.04  , 4.11  , 4.36  
F-pairs, RMQNaive, 195708, 33    , 2.8   , 2153  , 5.4   , 5.33  , 5.45  , 5.53  
F-pairs, RMQNaive, 195708, 37    , 3.1   , 848   , 2.4   , 2.23  , 2.25  , 2.82  
F-pairs, RMQNaive, 195708, 41    , 3.4   , 983   , 3.0   , 2.73  , 3.05  , 3.22  
F-pairs, RMQNaive, 195708, 45    , 3.7   , 1126  , 3.4   , 3.29  , 3.37  , 3.41  
F-pairs, RMQNaive, 195708, 49    , 4.1   , 577   , 2.1   , 1.87  , 2.07  , 2.29  

F-pairs, RMQNaive, 142941, 5     , 1.4   , 17185 , 14.9  , 12.87 , 13.76 , 20.45 
F-pairs, RMQNaive, 142941, 9     , 1.6   , 27917 , 28.4  , 27.37 , 27.61 , 30.19 
F-pairs, RMQNaive, 142941, 13    , 1.7   , 36444 , 43.6  , 42.95 , 43.20 , 45.40 
F-pairs, RMQNaive, 142941, 17    , 1.9   , 43288 , 62.0  , 59.56 , 61.15 , 68.24 
F-pairs, RMQNaive, 142941, 21    , 2.1   , 19817 , 33.0  , 32.28 , 33.39 , 33.46 
F-pairs, RMQNaive, 142941, 25    , 2.3   , 23184 , 43.9  , 43.16 , 43.90 , 45.07 
F-pairs, RMQNaive, 142941, 29    , 2.5   , 26453 , 56.6  , 54.37 , 54.92 , 62.61 
F-pairs, RMQNaive, 142941, 33    , 2.8   , 29435 , 83.3  , 66.88 , 68.92 , 137.06
F-pairs, RMQNaive, 142941, 37    , 3.1   , 16215 , 71.8  , 46.78 , 73.73 , 103.13
F-pairs, RMQNaive, 142941, 41    , 3.4   , 18047 , 71.8  , 58.11 , 64.95 , 97.62 
F-pairs, RMQNaive, 142941, 45    , 3.7   , 19830 , 57.8  , 55.41 , 56.73 , 63.17 
F-pairs, RMQNaive, 142941, 49    , 4.1   , 12171 , 36.0  , 35.06 , 35.82 , 36.86 

F-pairs, RMQNaive, 137257, 5     , 1.4   , 3109  , 4.1   , 3.10  , 3.43  , 5.34  
F-pairs, RMQNaive, 137257, 9     , 1.6   , 6533  , 7.7   , 7.36  , 7.62  , 8.27  
F-pairs, RMQNaive, 137257, 13    , 1.7   , 9984  , 13.5  , 13.07 , 13.36 , 14.09 
F-pairs, RMQNaive, 137257, 17    , 1.9   , 13235 , 20.1  , 19.64 , 20.04 , 21.15 
F-pairs, RMQNaive, 137257, 21    , 2.1   , 4477  , 8.5   , 8.40  , 8.49  , 8.62  
F-pairs, RMQNaive, 137257, 25    , 2.3   , 5599  , 13.1  , 11.70 , 12.22 , 17.58 
F-pairs, RMQNaive, 137257, 29    , 2.5   , 6707  , 16.2  , 15.23 , 15.68 , 18.81 
F-pairs, RMQNaive, 137257, 33    , 2.8   , 7756  , 31.9  , 19.56 , 19.65 , 76.85 
F-pairs, RMQNaive, 137257, 37    , 3.1   , 3532  , 10.5  , 9.79  , 10.34 , 11.22 
F-pairs, RMQNaive, 137257, 41    , 3.4   , 4033  , 15.0  , 12.26 , 13.11 , 19.30 
F-pairs, RMQNaive, 137257, 45    , 3.7   , 4549  , 15.4  , 14.28 , 14.56 , 18.25 
F-pairs, RMQNaive, 137257, 49    , 4.1   , 2504  , 8.6   , 8.52  , 8.64  , 8.69  

F-pairs, RMQNaive, 179443, 5     , 1.4   , 4541  , 5.7   , 4.33  , 5.18  , 7.32  
F-pairs, RMQNaive, 179443, 9     , 1.6   , 9382  , 10.4  , 9.92  , 10.22 , 11.25 
F-pairs, RMQNaive, 179443, 13    , 1.7   , 14155 , 17.9  , 17.26 , 17.66 , 18.77 
F-pairs, RMQNaive, 179443, 17    , 1.9   , 18633 , 26.6  , 26.16 , 26.64 , 27.11 
F-pairs, RMQNaive, 179443, 21    , 2.1   , 5400  , 9.8   , 9.46  , 9.84  , 9.97  
F-pairs, RMQNaive, 179443, 25    , 2.3   , 6764  , 13.3  , 13.03 , 13.23 , 13.88 
F-pairs, RMQNaive, 179443, 29    , 2.5   , 8184  , 17.5  , 17.32 , 17.58 , 17.66 
F-pairs, RMQNaive, 179443, 33    , 2.8   , 9654  , 22.4  , 21.89 , 22.49 , 22.93 
F-pairs, RMQNaive, 179443, 37    , 3.1   , 4267  , 10.9  , 10.69 , 10.75 , 11.18 
F-pairs, RMQNaive, 179443, 41    , 3.4   , 4944  , 13.4  , 13.08 , 13.30 , 13.64 
F-pairs, RMQNaive, 179443, 45    , 3.7   , 5675  , 15.9  , 15.69 , 15.77 , 16.29 
F-pairs, RMQNaive, 179443, 49    , 4.1   , 2800  , 8.3   , 8.01  , 8.19  , 8.56  

F-pairs, RMQNaive, 177631, 5     , 1.4   , 4411  , 8.0   , 4.94  , 5.70  , 13.17 
F-pairs, RMQNaive, 177631, 9     , 1.6   , 9220  , 18.9  , 16.07 , 17.07 , 24.31 
F-pairs, RMQNaive, 177631, 13    , 1.7   , 14018 , 27.0  , 19.70 , 21.87 , 35.86 
F-pairs, RMQNaive, 177631, 17    , 1.9   , 18490 , 61.2  , 49.45 , 62.63 , 80.18 
F-pairs, RMQNaive, 177631, 21    , 2.1   , 5285  , 26.6  , 14.37 , 23.96 , 47.26 
F-pairs, RMQNaive, 177631, 25    , 2.3   , 6660  , 31.8  , 19.54 , 33.57 , 47.74 
F-pairs, RMQNaive, 177631, 29    , 2.5   , 7955  , 41.2  , 30.36 , 45.64 , 51.81 
F-pairs, RMQNaive, 177631, 33    , 2.8   , 9303  , 35.0  , 31.76 , 33.96 , 40.28 
F-pairs, RMQNaive, 177631, 37    , 3.1   , 3880  , 16.0  , 10.84 , 12.05 , 25.29 
F-pairs, RMQNaive, 177631, 41    , 3.4   , 4452  , 18.5  , 14.74 , 17.71 , 26.18 
F-pairs, RMQNaive, 177631, 45    , 3.7   , 5040  , 16.5  , 15.14 , 16.91 , 17.52 
F-pairs, RMQNaive, 177631, 49    , 4.1   , 2445  , 8.5   , 8.27  , 8.29  , 8.79  
