Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RmqBucket, 191672, 5     , 1.4   , 409   , 6.7   , 4.97  , 5.34  , 9.14  
RMQHeuristic, RmqBucket, 191672, 9     , 1.6   , 688   , 10.4  , 10.24 , 10.32 , 10.58 
RMQHeuristic, RmqBucket, 191672, 13    , 1.7   , 879   , 11.1  , 11.03 , 11.04 , 11.16 
RMQHeuristic, RmqBucket, 191672, 17    , 1.9   , 980   , 11.6  , 11.53 , 11.57 , 11.81 
RMQHeuristic, RmqBucket, 191672, 21    , 2.1   , 1007  , 15.1  , 15.09 , 15.10 , 15.15 
RMQHeuristic, RmqBucket, 191672, 25    , 2.3   , 967   , 18.7  , 18.47 , 18.72 , 18.73 
RMQHeuristic, RmqBucket, 191672, 29    , 2.5   , 903   , 23.5  , 23.38 , 23.40 , 23.73 
RMQHeuristic, RmqBucket, 191672, 33    , 2.8   , 815   , 26.6  , 26.10 , 26.29 , 27.72 
RMQHeuristic, RmqBucket, 191672, 37    , 3.1   , 689   , 27.3  , 27.24 , 27.27 , 27.35 
RMQHeuristic, RmqBucket, 191672, 41    , 3.4   , 610   , 27.0  , 26.88 , 26.90 , 27.18 
RMQHeuristic, RmqBucket, 191672, 45    , 3.7   , 495   , 28.0  , 27.87 , 27.98 , 28.22 
RMQHeuristic, RmqBucket, 191672, 49    , 4.1   , 382   , 27.6  , 27.54 , 27.63 , 27.69 

RMQHeuristic, RmqBucket, 195708, 5     , 1.4   , 365   , 7.2   , 5.07  , 5.42  , 11.05 
RMQHeuristic, RmqBucket, 195708, 9     , 1.6   , 654   , 10.6  , 10.46 , 10.54 , 10.83 
RMQHeuristic, RmqBucket, 195708, 13    , 1.7   , 822   , 11.3  , 11.29 , 11.31 , 11.43 
RMQHeuristic, RmqBucket, 195708, 17    , 1.9   , 906   , 12.4  , 11.92 , 12.19 , 13.83 
RMQHeuristic, RmqBucket, 195708, 21    , 2.1   , 954   , 15.6  , 15.41 , 15.56 , 15.79 
RMQHeuristic, RmqBucket, 195708, 25    , 2.3   , 989   , 19.5  , 18.99 , 19.47 , 20.25 
