Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RMQSt, 191672, 5     , 1.4   , 372   , 26.8  , 24.94 , 25.67 , 32.33 
RMQHeuristic, RMQSt, 191672, 9     , 1.6   , 683   , 24.5  , 24.07 , 24.36 , 25.13 
RMQHeuristic, RMQSt, 191672, 13    , 1.7   , 930   , 23.9  , 23.89 , 23.94 , 24.02 
RMQHeuristic, RMQSt, 191672, 17    , 1.9   , 1079  , 23.7  , 23.70 , 23.71 , 23.83 
RMQHeuristic, RMQSt, 191672, 21    , 2.1   , 1061  , 23.6  , 23.58 , 23.60 , 23.75 
RMQHeuristic, RMQSt, 191672, 25    , 2.3   , 1028  , 23.8  , 23.48 , 23.53 , 25.00 
RMQHeuristic, RMQSt, 191672, 29    , 2.5   , 942   , 25.3  , 23.96 , 24.43 , 29.21 
RMQHeuristic, RMQSt, 191672, 33    , 2.8   , 814   , 23.9  , 23.39 , 24.07 , 24.11 
RMQHeuristic, RMQSt, 191672, 37    , 3.1   , 673   , 23.6  , 23.37 , 23.45 , 24.31 
RMQHeuristic, RMQSt, 191672, 41    , 3.4   , 584   , 25.6  , 23.25 , 26.43 , 28.69 
RMQHeuristic, RMQSt, 191672, 45    , 3.7   , 461   , 28.0  , 26.65 , 28.31 , 29.80 
RMQHeuristic, RMQSt, 191672, 49    , 4.1   , 377   , 28.4  , 27.56 , 28.26 , 29.58 

RMQHeuristic, RMQSt, 195708, 5     , 1.4   , 382   , 28.5  , 26.44 , 26.57 , 36.57 
RMQHeuristic, RMQSt, 195708, 9     , 1.6   , 667   , 26.5  , 26.22 , 26.30 , 27.33 
RMQHeuristic, RMQSt, 195708, 13    , 1.7   , 864   , 25.0  , 24.81 , 24.92 , 25.70 
RMQHeuristic, RMQSt, 195708, 17    , 1.9   , 977   , 24.9  , 24.68 , 24.91 , 25.35 
RMQHeuristic, RMQSt, 195708, 21    , 2.1   , 1029  , 24.5  , 24.36 , 24.48 , 24.80 
RMQHeuristic, RMQSt, 195708, 25    , 2.3   , 1083  , 24.7  , 24.05 , 24.27 , 26.47 
