Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RMQNaive, 191672, 5     , 1.4   , 372   , 0.1   , 0.06  , 0.07  , 0.15  
RMQHeuristic, RMQNaive, 191672, 9     , 1.6   , 683   , 0.1   , 0.11  , 0.11  , 0.15  
RMQHeuristic, RMQNaive, 191672, 13    , 1.7   , 930   , 0.1   , 0.14  , 0.14  , 0.17  
RMQHeuristic, RMQNaive, 191672, 17    , 1.9   , 1079  , 0.2   , 0.17  , 0.18  , 0.24  
RMQHeuristic, RMQNaive, 191672, 21    , 2.1   , 1061  , 0.1   , 0.14  , 0.14  , 0.17  
RMQHeuristic, RMQNaive, 191672, 25    , 2.3   , 1028  , 0.1   , 0.14  , 0.14  , 0.17  
RMQHeuristic, RMQNaive, 191672, 29    , 2.5   , 942   , 0.1   , 0.13  , 0.13  , 0.15  
RMQHeuristic, RMQNaive, 191672, 33    , 2.8   , 814   , 0.1   , 0.11  , 0.11  , 0.13  
RMQHeuristic, RMQNaive, 191672, 37    , 3.1   , 673   , 0.1   , 0.09  , 0.09  , 0.10  
RMQHeuristic, RMQNaive, 191672, 41    , 3.4   , 584   , 0.1   , 0.07  , 0.07  , 0.08  
RMQHeuristic, RMQNaive, 191672, 45    , 3.7   , 461   , 0.1   , 0.06  , 0.06  , 0.11  
RMQHeuristic, RMQNaive, 191672, 49    , 4.1   , 377   , 0.0   , 0.04  , 0.04  , 0.05  

RMQHeuristic, RMQNaive, 195708, 5     , 1.4   , 382   , 0.1   , 0.06  , 0.06  , 0.14  
RMQHeuristic, RMQNaive, 195708, 9     , 1.6   , 667   , 0.1   , 0.11  , 0.11  , 0.15  
RMQHeuristic, RMQNaive, 195708, 13    , 1.7   , 864   , 0.1   , 0.12  , 0.12  , 0.15  
RMQHeuristic, RMQNaive, 195708, 17    , 1.9   , 977   , 0.2   , 0.15  , 0.15  , 0.18  
RMQHeuristic, RMQNaive, 195708, 21    , 2.1   , 1029  , 0.2   , 0.16  , 0.16  , 0.19  
RMQHeuristic, RMQNaive, 195708, 25    , 2.3   , 1083  , 0.2   , 0.15  , 0.16  , 0.27  
