Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   

ends = 16808900 ends_unique = 10473716 delta = 6335184
3562.35
RMQHeuristic, RMQNaive, 191672, 5     , 1.4   , 409   , 0.2   , 0.13  , 0.13  , 0.23  
RMQHeuristic, RMQNaive, 191672, 9     , 1.6   , 688   , 0.3   , 0.24  , 0.24  , 0.30  
RMQHeuristic, RMQNaive, 191672, 13    , 1.7   , 879   , 0.3   , 0.31  , 0.32  , 0.42  
RMQHeuristic, RMQNaive, 191672, 17    , 1.9   , 980   , 0.4   , 0.32  , 0.33  , 0.45  
RMQHeuristic, RMQNaive, 191672, 21    , 2.1   , 1007  , 0.3   , 0.33  , 0.34  , 0.37  
RMQHeuristic, RMQNaive, 191672, 25    , 2.3   , 967   , 0.3   , 0.32  , 0.33  , 0.34  
RMQHeuristic, RMQNaive, 191672, 29    , 2.5   , 903   , 0.3   , 0.29  , 0.29  , 0.32  
RMQHeuristic, RMQNaive, 191672, 33    , 2.8   , 815   , 0.3   , 0.26  , 0.26  , 0.28  
RMQHeuristic, RMQNaive, 191672, 37    , 3.1   , 689   , 0.2   , 0.23  , 0.23  , 0.26  
RMQHeuristic, RMQNaive, 191672, 41    , 3.4   , 610   , 0.2   , 0.19  , 0.19  , 0.21  
RMQHeuristic, RMQNaive, 191672, 45    , 3.7   , 495   , 0.1   , 0.08  , 0.15  , 0.18  
RMQHeuristic, RMQNaive, 191672, 49    , 4.1   , 382   , 0.1   , 0.07  , 0.07  , 0.08  


ends = 35266762 ends_unique = 22009399 delta = 13257363
4032.85
RMQHeuristic, RMQNaive, 195708, 5     , 1.4   , 365   , 0.1   , 0.13  , 0.13  , 0.21  
RMQHeuristic, RMQNaive, 195708, 9     , 1.6   , 654   , 0.3   , 0.24  , 0.24  , 0.29  
RMQHeuristic, RMQNaive, 195708, 13    , 1.7   , 822   , 0.3   , 0.28  , 0.28  , 0.31  
RMQHeuristic, RMQNaive, 195708, 17    , 1.9   , 906   , 0.3   , 0.28  , 0.29  , 0.32  
RMQHeuristic, RMQNaive, 195708, 21    , 2.1   , 954   , 0.3   , 0.30  , 0.30  , 0.33  
RMQHeuristic, RMQNaive, 195708, 25    , 2.3   , 989   , 0.4   , 0.30  , 0.31  , 0.80  
RMQHeuristic, RMQNaive, 195708, 29    , 2.5   , 965   , 0.3   , 0.29  , 0.29  , 0.32  
RMQHeuristic, RMQNaive, 195708, 33    , 2.8   , 906   , 0.3   , 0.27  , 0.27  , 0.29  
RMQHeuristic, RMQNaive, 195708, 37    , 3.1   , 796   , 0.2   , 0.24  , 0.24  , 0.26  
RMQHeuristic, RMQNaive, 195708, 41    , 3.4   , 700   , 0.2   , 0.19  , 0.19  , 0.22  
RMQHeuristic, RMQNaive, 195708, 45    , 3.7   , 616   , 0.2   , 0.17  , 0.17  , 0.22  
RMQHeuristic, RMQNaive, 195708, 49    , 4.1   , 535   , 0.1   , 0.08  , 0.08  , 0.10  


ends = 44390814 ends_unique = 28031870 delta = 16358944
2134.67
RMQHeuristic, RMQNaive, 142941, 5     , 1.4   , 8757  , 3.9   , 2.48  , 4.12  , 6.05  
RMQHeuristic, RMQNaive, 142941, 9     , 1.6   , 13342 , 3.6   , 3.52  , 3.56  , 3.93  
RMQHeuristic, RMQNaive, 142941, 13    , 1.7   , 15946 , 4.3   , 4.17  , 4.28  , 4.56  
RMQHeuristic, RMQNaive, 142941, 17    , 1.9   , 17539 , 4.3   , 4.19  , 4.27  , 4.43  
RMQHeuristic, RMQNaive, 142941, 21    , 2.1   , 18160 , 4.3   , 4.17  , 4.20  , 4.57  
RMQHeuristic, RMQNaive, 142941, 25    , 2.3   , 18227 , 4.4   , 4.20  , 4.37  , 4.86  
RMQHeuristic, RMQNaive, 142941, 29    , 2.5   , 17512 , 3.6   , 3.46  , 3.65  , 3.71  
RMQHeuristic, RMQNaive, 142941, 33    , 2.8   , 16777 , 3.7   , 3.52  , 3.65  , 3.89  
RMQHeuristic, RMQNaive, 142941, 37    , 3.1   , 15563 , 3.2   , 3.14  , 3.16  , 3.32  
RMQHeuristic, RMQNaive, 142941, 41    , 3.4   , 14250 , 3.1   , 2.95  , 3.08  , 3.22  
RMQHeuristic, RMQNaive, 142941, 45    , 3.7   , 13043 , 2.6   , 2.51  , 2.59  , 2.82  
RMQHeuristic, RMQNaive, 142941, 49    , 4.1   , 11652 , 2.4   , 2.25  , 2.33  , 2.52  


ends = 54866618 ends_unique = 34820587 delta = 20046031
2214.73
RMQHeuristic, RMQNaive, 137257, 5     , 1.4   , 1368  , 1.2   , 0.59  , 0.67  , 3.43  
RMQHeuristic, RMQNaive, 137257, 9     , 1.6   , 2440  , 1.4   , 1.02  , 1.13  , 2.39  
RMQHeuristic, RMQNaive, 137257, 13    , 1.7   , 3223  , 1.6   , 1.28  , 1.43  , 1.91  
RMQHeuristic, RMQNaive, 137257, 17    , 1.9   , 3760  , 1.5   , 1.40  , 1.47  , 1.73  
RMQHeuristic, RMQNaive, 137257, 21    , 2.1   , 4012  , 1.0   , 0.96  , 0.99  , 1.03  
RMQHeuristic, RMQNaive, 137257, 25    , 2.3   , 4031  , 0.9   , 0.76  , 0.78  , 1.36  
RMQHeuristic, RMQNaive, 137257, 29    , 2.5   , 3880  , 0.8   , 0.73  , 0.74  , 0.83  
RMQHeuristic, RMQNaive, 137257, 33    , 2.8   , 3673  , 0.7   , 0.67  , 0.69  , 0.76  
RMQHeuristic, RMQNaive, 137257, 37    , 3.1   , 3341  , 0.7   , 0.61  , 0.67  , 0.84  
RMQHeuristic, RMQNaive, 137257, 41    , 3.4   , 3051  , 0.6   , 0.55  , 0.56  , 0.69  
RMQHeuristic, RMQNaive, 137257, 45    , 3.7   , 2691  , 0.4   , 0.42  , 0.42  , 0.45  
RMQHeuristic, RMQNaive, 137257, 49    , 4.1   , 2393  , 0.4   , 0.39  , 0.39  , 0.41  


ends = 70873171 ends_unique = 44655006 delta = 26218165
3423.83
RMQHeuristic, RMQNaive, 179443, 5     , 1.4   , 1762  , 0.8   , 0.75  , 0.75  , 1.11  
RMQHeuristic, RMQNaive, 179443, 9     , 1.6   , 3189  , 1.0   , 0.76  , 0.80  , 1.55  
RMQHeuristic, RMQNaive, 179443, 13    , 1.7   , 4030  , 1.1   , 0.95  , 1.07  , 1.38  
RMQHeuristic, RMQNaive, 179443, 17    , 1.9   , 4673  , 1.1   , 0.96  , 1.08  , 1.22  
RMQHeuristic, RMQNaive, 179443, 21    , 2.1   , 4743  , 1.1   , 1.07  , 1.11  , 1.19  
RMQHeuristic, RMQNaive, 179443, 25    , 2.3   , 4752  , 1.6   , 0.90  , 1.01  , 4.06  
RMQHeuristic, RMQNaive, 179443, 29    , 2.5   , 4591  , 0.9   , 0.85  , 0.87  , 1.06  
RMQHeuristic, RMQNaive, 179443, 33    , 2.8   , 4335  , 0.9   , 0.80  , 0.86  , 0.93  
RMQHeuristic, RMQNaive, 179443, 37    , 3.1   , 4047  , 0.9   , 0.74  , 0.81  , 1.08  
RMQHeuristic, RMQNaive, 179443, 41    , 3.4   , 3577  , 1.1   , 0.69  , 0.85  , 1.94  
RMQHeuristic, RMQNaive, 179443, 45    , 3.7   , 3157  , 0.6   , 0.51  , 0.56  , 0.58  
RMQHeuristic, RMQNaive, 179443, 49    , 4.1   , 2624  , 0.5   , 0.44  , 0.45  , 0.48  


ends = 84960996 ends_unique = 53809522 delta = 31151474
3215.17
RMQHeuristic, RMQNaive, 177631, 5     , 1.4   , 1868  , 0.9   , 0.74  , 0.78  , 1.34  
RMQHeuristic, RMQNaive, 177631, 9     , 1.6   , 3177  , 1.4   , 1.38  , 1.40  , 1.54  
RMQHeuristic, RMQNaive, 177631, 13    , 1.7   , 4057  , 0.9   , 0.84  , 0.89  , 1.07  
RMQHeuristic, RMQNaive, 177631, 17    , 1.9   , 4535  , 1.0   , 0.94  , 0.94  , 1.02  
RMQHeuristic, RMQNaive, 177631, 21    , 2.1   , 4664  , 1.1   , 1.00  , 1.07  , 1.15  
RMQHeuristic, RMQNaive, 177631, 25    , 2.3   , 4709  , 0.9   , 0.87  , 0.88  , 0.96  
RMQHeuristic, RMQNaive, 177631, 29    , 2.5   , 4465  , 0.9   , 0.85  , 0.93  , 1.08  
RMQHeuristic, RMQNaive, 177631, 33    , 2.8   , 4108  , 0.8   , 0.75  , 0.75  , 0.82  
RMQHeuristic, RMQNaive, 177631, 37    , 3.1   , 3625  , 0.8   , 0.68  , 0.72  , 0.99  
RMQHeuristic, RMQNaive, 177631, 41    , 3.4   , 3135  , 0.6   , 0.52  , 0.53  , 0.62  
RMQHeuristic, RMQNaive, 177631, 45    , 3.7   , 2692  , 0.5   , 0.46  , 0.50  , 0.54  
RMQHeuristic, RMQNaive, 177631, 49    , 4.1   , 2294  , 0.4   , 0.39  , 0.41  , 0.42  


