Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   

431.419
RMQHeuristic, RmqSt, 191672, 5     , 1.4   , 409   , 26.5  , 25.01 , 25.32 , 31.53 
RMQHeuristic, RmqSt, 191672, 9     , 1.6   , 688   , 24.8  , 24.38 , 24.81 , 25.17 
RMQHeuristic, RmqSt, 191672, 13    , 1.7   , 879   , 24.7  , 24.37 , 24.61 , 25.07 
RMQHeuristic, RmqSt, 191672, 17    , 1.9   , 980   , 24.6  , 24.25 , 24.65 , 24.99 
RMQHeuristic, RmqSt, 191672, 21    , 2.1   , 1007  , 30.7  , 25.72 , 26.80 , 47.35 
RMQHeuristic, RmqSt, 191672, 25    , 2.3   , 967   , 27.5  , 26.06 , 27.00 , 31.10 
RMQHeuristic, RmqSt, 191672, 29    , 2.5   , 903   , 25.9  , 25.86 , 25.91 , 25.95 
RMQHeuristic, RmqSt, 191672, 33    , 2.8   , 815   , 25.6  , 23.39 , 23.92 , 30.72 
RMQHeuristic, RmqSt, 191672, 37    , 3.1   , 689   , 23.6  , 23.25 , 23.51 , 23.95 
RMQHeuristic, RmqSt, 191672, 41    , 3.4   , 610   , 23.1  , 22.93 , 23.05 , 23.29 
RMQHeuristic, RmqSt, 191672, 45    , 3.7   , 495   , 23.1  , 22.85 , 23.14 , 23.39 
RMQHeuristic, RmqSt, 191672, 49    , 4.1   , 382   , 23.4  , 22.70 , 22.77 , 25.00 


526.75
RMQHeuristic, RmqSt, 195708, 5     , 1.4   , 365   , 28.0  , 26.33 , 26.66 , 33.49 
RMQHeuristic, RmqSt, 195708, 9     , 1.6   , 654   , 26.2  , 25.98 , 26.25 , 26.48 
RMQHeuristic, RmqSt, 195708, 13    , 1.7   , 822   , 28.5  , 26.84 , 27.89 , 30.38 
RMQHeuristic, RmqSt, 195708, 17    , 1.9   , 906   , 25.5  , 25.27 , 25.44 , 25.75 
RMQHeuristic, RmqSt, 195708, 21    , 2.1   , 954   , 25.4  , 25.00 , 25.18 , 26.20 
RMQHeuristic, RmqSt, 195708, 25    , 2.3   , 989   , 28.4  , 25.95 , 27.88 , 30.42 
RMQHeuristic, RmqSt, 195708, 29    , 2.5   , 965   , 26.3  , 25.73 , 26.09 , 27.07 
RMQHeuristic, RmqSt, 195708, 33    , 2.8   , 906   , 27.9  , 25.43 , 28.49 , 30.86 
RMQHeuristic, RmqSt, 195708, 37    , 3.1   , 796   , 26.0  , 25.28 , 25.52 , 27.82 
RMQHeuristic, RmqSt, 195708, 41    , 3.4   , 700   , 24.6  , 24.48 , 24.52 , 25.02 
RMQHeuristic, RmqSt, 195708, 45    , 3.7   , 616   , 24.7  , 24.18 , 24.48 , 25.74 
RMQHeuristic, RmqSt, 195708, 49    , 4.1   , 535   , 35.3  , 29.04 , 32.46 , 46.90 


307.04
RMQHeuristic, RmqSt, 142941, 5     , 1.4   , 8757  , 24.1  , 23.02 , 23.11 , 26.41 
RMQHeuristic, RmqSt, 142941, 9     , 1.6   , 13342 , 23.3  , 22.06 , 22.25 , 27.33 
RMQHeuristic, RmqSt, 142941, 13    , 1.7   , 15946 , 22.4  , 21.24 , 22.44 , 23.66 
RMQHeuristic, RmqSt, 142941, 17    , 1.9   , 17539 , 22.3  , 18.39 , 23.00 , 26.10 
RMQHeuristic, RmqSt, 142941, 21    , 2.1   , 18160 , 18.4  , 18.05 , 18.12 , 18.94 
RMQHeuristic, RmqSt, 142941, 25    , 2.3   , 18227 , 17.8  , 17.70 , 17.83 , 17.91 
RMQHeuristic, RmqSt, 142941, 29    , 2.5   , 17512 , 17.6  , 17.54 , 17.54 , 17.89 
RMQHeuristic, RmqSt, 142941, 33    , 2.8   , 16777 , 18.3  , 18.14 , 18.16 , 18.69 
RMQHeuristic, RmqSt, 142941, 37    , 3.1   , 15563 , 18.0  , 17.87 , 17.94 , 18.33 
RMQHeuristic, RmqSt, 142941, 41    , 3.4   , 14250 , 18.0  , 17.70 , 17.85 , 18.34 
