Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RMQSt, 191672, 5     , 1.4   , 372   , 7.0   , 4.99  , 5.35  , 9.98  
RMQHeuristic, RMQSt, 191672, 9     , 1.6   , 683   , 10.7  , 10.29 , 10.42 , 11.30 
RMQHeuristic, RMQSt, 191672, 13    , 1.7   , 930   , 11.3  , 11.11 , 11.25 , 11.75 
RMQHeuristic, RMQSt, 191672, 17    , 1.9   , 1079  , 11.8  , 11.61 , 11.71 , 12.26 
RMQHeuristic, RMQSt, 191672, 21    , 2.1   , 1061  , 16.4  , 15.37 , 15.84 , 18.16 
RMQHeuristic, RMQSt, 191672, 25    , 2.3   , 1028  , 23.0  , 19.23 , 22.73 , 27.70 
RMQHeuristic, RMQSt, 191672, 29    , 2.5   , 942   , 24.3  , 23.62 , 24.28 , 25.47 
RMQHeuristic, RMQSt, 191672, 33    , 2.8   , 814   , 27.2  , 26.59 , 27.34 , 27.36 
RMQHeuristic, RMQSt, 191672, 37    , 3.1   , 673   , 28.9  , 27.75 , 28.73 , 31.51 
RMQHeuristic, RMQSt, 191672, 41    , 3.4   , 584   , 31.2  , 27.32 , 28.23 , 44.00 
RMQHeuristic, RMQSt, 191672, 45    , 3.7   , 461   , 29.3  , 28.86 , 29.34 , 29.55 
RMQHeuristic, RMQSt, 191672, 49    , 4.1   , 377   , 28.8  , 28.03 , 29.01 , 29.19 

RMQHeuristic, RMQSt, 195708, 5     , 1.4   , 382   , 7.5   , 5.06  , 5.25  , 15.02 
RMQHeuristic, RMQSt, 195708, 9     , 1.6   , 667   , 12.1  , 10.54 , 10.67 , 14.86 
RMQHeuristic, RMQSt, 195708, 13    , 1.7   , 864   , 12.7  , 11.34 , 11.84 , 14.97 
RMQHeuristic, RMQSt, 195708, 17    , 1.9   , 977   , 14.0  , 11.88 , 12.00 , 17.46 
RMQHeuristic, RMQSt, 195708, 21    , 2.1   , 1029  , 17.3  , 15.53 , 15.90 , 19.71 
RMQHeuristic, RMQSt, 195708, 25    , 2.3   , 1083  , 23.9  , 19.83 , 22.95 , 33.41 
RMQHeuristic, RMQSt, 195708, 29    , 2.5   , 1030  , 25.3  , 24.09 , 24.48 , 28.52 
RMQHeuristic, RMQSt, 195708, 33    , 2.8   , 953   , 29.8  , 27.17 , 30.96 , 31.14 
RMQHeuristic, RMQSt, 195708, 37    , 3.1   , 855   , 30.4  , 28.82 , 29.54 , 32.70 
RMQHeuristic, RMQSt, 195708, 41    , 3.4   , 743   , 33.3  , 29.34 , 32.18 , 37.84 
RMQHeuristic, RMQSt, 195708, 45    , 3.7   , 664   , 30.9  , 29.43 , 29.58 , 33.16 
RMQHeuristic, RMQSt, 195708, 49    , 4.1   , 550   , 30.4  , 28.86 , 29.15 , 32.68 

RMQHeuristic, RMQSt, 142941, 5     , 1.4   , 9149  , 6.2   , 3.91  , 5.98  , 9.77  
RMQHeuristic, RMQSt, 142941, 9     , 1.6   , 14006 , 8.0   , 7.84  , 7.97  , 8.46  
RMQHeuristic, RMQSt, 142941, 13    , 1.7   , 16576 , 9.2   , 8.64  , 8.67  , 11.54 
RMQHeuristic, RMQSt, 142941, 17    , 1.9   , 18175 , 9.4   , 9.16  , 9.23  , 9.94  
RMQHeuristic, RMQSt, 142941, 21    , 2.1   , 18859 , 12.0  , 11.70 , 11.78 , 12.47 
RMQHeuristic, RMQSt, 142941, 25    , 2.3   , 19185 , 14.4  , 14.16 , 14.28 , 14.89 
RMQHeuristic, RMQSt, 142941, 29    , 2.5   , 18740 , 18.2  , 17.78 , 18.43 , 18.58 
RMQHeuristic, RMQSt, 142941, 33    , 2.8   , 18365 , 24.1  , 19.87 , 20.69 , 38.55 
RMQHeuristic, RMQSt, 142941, 37    , 3.1   , 17412 , 21.8  , 21.26 , 22.05 , 22.24 
RMQHeuristic, RMQSt, 142941, 41    , 3.4   , 16217 , 21.4  , 20.95 , 21.61 , 21.82 
RMQHeuristic, RMQSt, 142941, 45    , 3.7   , 14620 , 22.1  , 21.62 , 22.30 , 22.56 
RMQHeuristic, RMQSt, 142941, 49    , 4.1   , 13146 , 25.1  , 21.37 , 22.03 , 38.02 

RMQHeuristic, RMQSt, 137257, 5     , 1.4   , 1314  , 5.9   , 3.56  , 3.70  , 11.91 
RMQHeuristic, RMQSt, 137257, 9     , 1.6   , 2568  , 7.7   , 7.46  , 7.53  , 8.35  
RMQHeuristic, RMQSt, 137257, 13    , 1.7   , 3436  , 8.2   , 7.93  , 8.09  , 8.84  
RMQHeuristic, RMQSt, 137257, 17    , 1.9   , 3913  , 8.6   , 8.35  , 8.45  , 9.11  
RMQHeuristic, RMQSt, 137257, 21    , 2.1   , 4255  , 12.7  , 10.98 , 11.11 , 18.93 
RMQHeuristic, RMQSt, 137257, 25    , 2.3   , 4274  , 14.8  , 13.45 , 13.61 , 19.18 
RMQHeuristic, RMQSt, 137257, 29    , 2.5   , 4116  , 17.5  , 16.99 , 17.70 , 17.81 
RMQHeuristic, RMQSt, 137257, 33    , 2.8   , 3903  , 21.1  , 19.05 , 19.92 , 23.93 
RMQHeuristic, RMQSt, 137257, 37    , 3.1   , 3566  , 20.8  , 20.34 , 21.03 , 21.22 
RMQHeuristic, RMQSt, 137257, 41    , 3.4   , 3180  , 20.5  , 20.00 , 20.76 , 20.89 
RMQHeuristic, RMQSt, 137257, 45    , 3.7   , 2780  , 23.8  , 20.81 , 21.44 , 34.24 
RMQHeuristic, RMQSt, 137257, 49    , 4.1   , 2528  , 21.0  , 20.59 , 20.74 , 21.44 

RMQHeuristic, RMQSt, 179443, 5     , 1.4   , 1826  , 8.6   , 5.70  , 8.04  , 12.09 
RMQHeuristic, RMQSt, 179443, 9     , 1.6   , 3343  , 10.9  , 9.83  , 10.00 , 14.32 
RMQHeuristic, RMQSt, 179443, 13    , 1.7   , 4370  , 11.7  , 10.58 , 10.79 , 14.64 
RMQHeuristic, RMQSt, 179443, 17    , 1.9   , 4983  , 12.0  , 10.91 , 11.58 , 14.58 
RMQHeuristic, RMQSt, 179443, 21    , 2.1   , 5197  , 14.8  , 14.16 , 14.27 , 15.81 
RMQHeuristic, RMQSt, 179443, 25    , 2.3   , 5290  , 17.7  , 17.41 , 17.53 , 18.07 
RMQHeuristic, RMQSt, 179443, 29    , 2.5   , 5142  , 22.4  , 21.89 , 22.56 , 22.62 
RMQHeuristic, RMQSt, 179443, 33    , 2.8   , 4890  , 25.1  , 24.55 , 25.25 , 25.45 
RMQHeuristic, RMQSt, 179443, 37    , 3.1   , 4572  , 27.5  , 26.23 , 26.85 , 30.45 
RMQHeuristic, RMQSt, 179443, 41    , 3.4   , 4104  , 26.4  , 25.75 , 26.52 , 26.85 
RMQHeuristic, RMQSt, 179443, 45    , 3.7   , 3537  , 27.3  , 26.75 , 27.51 , 27.73 
RMQHeuristic, RMQSt, 179443, 49    , 4.1   , 3015  , 27.9  , 27.11 , 27.26 , 29.00 

RMQHeuristic, RMQSt, 177631, 5     , 1.4   , 1819  , 6.9   , 4.63  , 5.09  , 11.39 
RMQHeuristic, RMQSt, 177631, 9     , 1.6   , 3350  , 10.0  , 9.54  , 9.61  , 11.40 
RMQHeuristic, RMQSt, 177631, 13    , 1.7   , 4265  , 11.2  , 10.27 , 10.80 , 12.25 
RMQHeuristic, RMQSt, 177631, 17    , 1.9   , 4872  , 11.2  , 10.79 , 10.81 , 12.64 
RMQHeuristic, RMQSt, 177631, 21    , 2.1   , 5072  , 15.1  , 14.04 , 14.28 , 17.12 
RMQHeuristic, RMQSt, 177631, 25    , 2.3   , 4923  , 18.3  , 17.30 , 17.45 , 19.87 
RMQHeuristic, RMQSt, 177631, 29    , 2.5   , 4662  , 23.3  , 21.63 , 23.99 , 24.94 
RMQHeuristic, RMQSt, 177631, 33    , 2.8   , 4407  , 26.1  , 24.27 , 26.86 , 27.55 
RMQHeuristic, RMQSt, 177631, 37    , 3.1   , 3950  , 28.2  , 25.96 , 28.74 , 29.03 
RMQHeuristic, RMQSt, 177631, 41    , 3.4   , 3328  , 27.0  , 25.47 , 27.74 , 28.07 
RMQHeuristic, RMQSt, 177631, 45    , 3.7   , 2772  , 28.6  , 26.43 , 28.76 , 29.81 
RMQHeuristic, RMQSt, 177631, 49    , 4.1   , 2200  , 27.6  , 26.17 , 28.43 , 28.88 
