Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
F-pairs, RMQNaive, 1048576, 204   , 1047556.0, 87    , 0.2   , 0.14  , 0.16  , 0.44  
F-pairs, RMQNaive, 1048576, 404   , 1047536.0, 170   , 0.5   , 0.33  , 0.39  , 0.72  
F-pairs, RMQNaive, 1048576, 604   , 1047516.0, 305   , 0.8   , 0.77  , 0.83  , 0.90  
F-pairs, RMQNaive, 1048576, 804   , 1047496.0, 419   , 1.4   , 1.27  , 1.34  , 1.53  
F-pairs, RMQNaive, 1048576, 1004  , 1047476.0, 530   , 1.8   , 1.65  , 1.72  , 2.00  
F-pairs, RMQNaive, 1048576, 1204  , 1047456.0, 686   , 2.4   , 2.12  , 2.35  , 2.98  
F-pairs, RMQNaive, 1048576, 1404  , 1047436.0, 815   , 2.5   , 2.48  , 2.52  , 2.62  
F-pairs, RMQNaive, 1048576, 1604  , 1047416.0, 982   , 3.1   , 2.84  , 2.97  , 3.74  
F-pairs, RMQNaive, 1048576, 1804  , 1047396.0, 1165  , 3.5   , 3.31  , 3.39  , 3.96  
F-pairs, RMQNaive, 1048576, 2004  , 1047376.0, 1340  , 3.9   , 3.56  , 3.77  , 4.70  
F-pairs, RMQNaive, 1048576, 2204  , 1047356.0, 1536  , 4.0   , 3.93  , 4.00  , 4.11  
F-pairs, RMQNaive, 1048576, 2404  , 1047336.0, 1727  , 4.8   , 4.25  , 4.58  , 5.95  

F-pairs, RMQNaive, 2097152, 204   , 2096132.0, 59    , 0.1   , 0.10  , 0.11  , 0.31  
F-pairs, RMQNaive, 2097152, 404   , 2096112.0, 123   , 0.3   , 0.28  , 0.33  , 0.44  
F-pairs, RMQNaive, 2097152, 604   , 2096092.0, 186   , 0.6   , 0.43  , 0.61  , 0.70  
F-pairs, RMQNaive, 2097152, 804   , 2096072.0, 249   , 1.3   , 0.90  , 1.35  , 1.51  
F-pairs, RMQNaive, 2097152, 1004  , 2096052.0, 328   , 1.2   , 1.14  , 1.18  , 1.29  
F-pairs, RMQNaive, 2097152, 1204  , 2096032.0, 394   , 1.5   , 1.38  , 1.44  , 1.61  
F-pairs, RMQNaive, 2097152, 1404  , 2096012.0, 464   , 1.8   , 1.69  , 1.74  , 2.00  
F-pairs, RMQNaive, 2097152, 1604  , 2095992.0, 538   , 2.2   , 1.96  , 2.05  , 2.71  
F-pairs, RMQNaive, 2097152, 1804  , 2095972.0, 623   , 2.5   , 2.19  , 2.37  , 2.91  
F-pairs, RMQNaive, 2097152, 2004  , 2095952.0, 723   , 2.7   , 2.60  , 2.67  , 2.70  
F-pairs, RMQNaive, 2097152, 2204  , 2095932.0, 822   , 3.1   , 2.79  , 2.98  , 3.81  
F-pairs, RMQNaive, 2097152, 2404  , 2095912.0, 913   , 3.1   , 3.04  , 3.11  , 3.30  

F-pairs, RMQNaive, 3145728, 204   , 3144708.0, 42    , 0.1   , 0.07  , 0.07  , 0.22  
F-pairs, RMQNaive, 3145728, 404   , 3144688.0, 79    , 0.2   , 0.14  , 0.14  , 0.29  
F-pairs, RMQNaive, 3145728, 604   , 3144668.0, 121   , 0.3   , 0.22  , 0.22  , 0.38  
F-pairs, RMQNaive, 3145728, 804   , 3144648.0, 143   , 0.4   , 0.31  , 0.40  , 0.45  
F-pairs, RMQNaive, 3145728, 1004  , 3144628.0, 176   , 0.5   , 0.43  , 0.46  , 0.59  
F-pairs, RMQNaive, 3145728, 1204  , 3144608.0, 226   , 1.3   , 0.74  , 1.31  , 2.12  
F-pairs, RMQNaive, 3145728, 1404  , 3144588.0, 280   , 1.3   , 1.08  , 1.26  , 1.50  
F-pairs, RMQNaive, 3145728, 1604  , 3144568.0, 350   , 1.4   , 1.34  , 1.36  , 1.45  
F-pairs, RMQNaive, 3145728, 1804  , 3144548.0, 408   , 1.7   , 1.59  , 1.68  , 1.75  
F-pairs, RMQNaive, 3145728, 2004  , 3144528.0, 466   , 1.9   , 1.86  , 1.90  , 1.94  
F-pairs, RMQNaive, 3145728, 2204  , 3144508.0, 517   , 2.4   , 2.06  , 2.29  , 2.70  
F-pairs, RMQNaive, 3145728, 2404  , 3144488.0, 594   , 2.3   , 2.26  , 2.31  , 2.43  

F-pairs, RMQNaive, 4194304, 204   , 4193284.0, 21    , 0.1   , 0.04  , 0.04  , 0.14  
F-pairs, RMQNaive, 4194304, 404   , 4193264.0, 42    , 0.1   , 0.08  , 0.08  , 0.18  
F-pairs, RMQNaive, 4194304, 604   , 4193244.0, 70    , 0.2   , 0.13  , 0.13  , 0.30  
F-pairs, RMQNaive, 4194304, 804   , 4193224.0, 107   , 0.3   , 0.23  , 0.25  , 0.46  
F-pairs, RMQNaive, 4194304, 1004  , 4193204.0, 143   , 0.4   , 0.33  , 0.33  , 0.47  
F-pairs, RMQNaive, 4194304, 1204  , 4193184.0, 166   , 0.5   , 0.43  , 0.44  , 0.54  
F-pairs, RMQNaive, 4194304, 1404  , 4193164.0, 211   , 0.7   , 0.64  , 0.68  , 0.76  
F-pairs, RMQNaive, 4194304, 1604  , 4193144.0, 261   , 0.9   , 0.88  , 0.91  , 1.03  
F-pairs, RMQNaive, 4194304, 1804  , 4193124.0, 307   , 1.4   , 1.23  , 1.27  , 1.74  
F-pairs, RMQNaive, 4194304, 2004  , 4193104.0, 355   , 1.7   , 1.41  , 1.63  , 2.04  
F-pairs, RMQNaive, 4194304, 2204  , 4193084.0, 408   , 1.7   , 1.63  , 1.69  , 1.78  
F-pairs, RMQNaive, 4194304, 2404  , 4193064.0, 465   , 1.9   , 1.82  , 1.87  , 1.93  

F-pairs, RMQNaive, 5242880, 204   , 5241860.0, 20    , 0.1   , 0.04  , 0.04  , 0.13  
F-pairs, RMQNaive, 5242880, 404   , 5241840.0, 46    , 0.2   , 0.16  , 0.17  , 0.36  
F-pairs, RMQNaive, 5242880, 604   , 5241820.0, 67    , 0.2   , 0.22  , 0.22  , 0.34  
F-pairs, RMQNaive, 5242880, 804   , 5241800.0, 92    , 0.4   , 0.32  , 0.33  , 0.47  
F-pairs, RMQNaive, 5242880, 1004  , 5241780.0, 121   , 0.5   , 0.44  , 0.46  , 0.58  
F-pairs, RMQNaive, 5242880, 1204  , 5241760.0, 147   , 0.6   , 0.57  , 0.58  , 0.71  
F-pairs, RMQNaive, 5242880, 1404  , 5241740.0, 180   , 0.9   , 0.84  , 0.92  , 0.96  
F-pairs, RMQNaive, 5242880, 1604  , 5241720.0, 226   , 1.5   , 1.34  , 1.48  , 1.73  
F-pairs, RMQNaive, 5242880, 1804  , 5241700.0, 259   , 1.1   , 0.94  , 1.05  , 1.51  
F-pairs, RMQNaive, 5242880, 2004  , 5241680.0, 296   , 1.3   , 1.14  , 1.24  , 1.43  
F-pairs, RMQNaive, 5242880, 2204  , 5241660.0, 322   , 1.4   , 1.38  , 1.43  , 1.48  
F-pairs, RMQNaive, 5242880, 2404  , 5241640.0, 364   , 1.7   , 1.52  , 1.61  , 2.03  

