Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RMQNaive, 1048576, 204   , 1047556.0, 87    , 265.8 , 265.31, 265.71, 266.17
RMQHeuristic, RMQNaive, 1048576, 404   , 1047536.0, 170   , 266.5 , 265.89, 266.10, 268.22
RMQHeuristic, RMQNaive, 1048576, 604   , 1047516.0, 305   , 270.8 , 269.82, 270.90, 271.62
RMQHeuristic, RMQNaive, 1048576, 804   , 1047496.0, 419   , 274.2 , 267.49, 269.88, 295.02
RMQHeuristic, RMQNaive, 1048576, 1004  , 1047476.0, 530   , 270.6 , 269.40, 270.85, 271.46
RMQHeuristic, RMQNaive, 1048576, 1204  , 1047456.0, 686   , 272.1 , 269.76, 271.81, 274.46
RMQHeuristic, RMQNaive, 1048576, 1404  , 1047436.0, 815   , 288.8 , 266.90, 292.66, 300.21
RMQHeuristic, RMQNaive, 1048576, 1604  , 1047416.0, 982   , 286.9 , 277.16, 286.27, 295.15
RMQHeuristic, RMQNaive, 1048576, 1804  , 1047396.0, 1165  , 407.2 , 334.66, 416.88, 471.52
RMQHeuristic, RMQNaive, 1048576, 2004  , 1047376.0, 1340  , 369.9 , 321.51, 360.83, 421.32
RMQHeuristic, RMQNaive, 1048576, 2204  , 1047356.0, 1536  , 325.5 , 298.23, 300.99, 407.40
RMQHeuristic, RMQNaive, 1048576, 2404  , 1047336.0, 1727  , 295.8 , 279.43, 286.17, 326.03

RMQHeuristic, RMQNaive, 2097152, 204   , 2096132.0, 59    , 529.4 , 522.15, 530.12, 537.21
RMQHeuristic, RMQNaive, 2097152, 404   , 2096112.0, 123   , 552.2 , 550.65, 552.09, 553.26
RMQHeuristic, RMQNaive, 2097152, 604   , 2096092.0, 186   , 608.9 , 560.56, 601.20, 649.42
RMQHeuristic, RMQNaive, 2097152, 804   , 2096072.0, 249   , 569.6 , 547.74, 551.43, 646.61
RMQHeuristic, RMQNaive, 2097152, 1004  , 2096052.0, 328   , 592.8 , 569.65, 588.14, 629.54
RMQHeuristic, RMQNaive, 2097152, 1204  , 2096032.0, 394   , 553.3 , 551.19, 552.90, 555.94
RMQHeuristic, RMQNaive, 2097152, 1404  , 2096012.0, 464   , 666.7 , 617.00, 666.38, 708.81
RMQHeuristic, RMQNaive, 2097152, 1604  , 2095992.0, 538   , 563.3 , 545.72, 550.37, 590.36
RMQHeuristic, RMQNaive, 2097152, 1804  , 2095972.0, 623   , 555.9 , 555.09, 555.91, 556.88
RMQHeuristic, RMQNaive, 2097152, 2004  , 2095952.0, 723   , 546.1 , 543.96, 545.61, 549.98
RMQHeuristic, RMQNaive, 2097152, 2204  , 2095932.0, 822   , 566.2 , 558.74, 561.11, 589.00
RMQHeuristic, RMQNaive, 2097152, 2404  , 2095912.0, 913   , 555.5 , 554.64, 555.30, 556.81

RMQHeuristic, RMQNaive, 3145728, 204   , 3144708.0, 42    , 779.7 , 778.69, 779.33, 781.35
RMQHeuristic, RMQNaive, 3145728, 404   , 3144688.0, 79    , 826.5 , 824.45, 827.05, 827.54
RMQHeuristic, RMQNaive, 3145728, 604   , 3144668.0, 121   , 841.3 , 838.50, 841.87, 843.02
RMQHeuristic, RMQNaive, 3145728, 804   , 3144648.0, 143   , 823.7 , 822.75, 823.60, 825.09
RMQHeuristic, RMQNaive, 3145728, 1004  , 3144628.0, 176   , 837.4 , 835.70, 837.46, 838.23
RMQHeuristic, RMQNaive, 3145728, 1204  , 3144608.0, 226   , 829.2 , 825.51, 828.20, 836.46
RMQHeuristic, RMQNaive, 3145728, 1404  , 3144588.0, 280   , 831.5 , 829.65, 832.26, 833.48
RMQHeuristic, RMQNaive, 3145728, 1604  , 3144568.0, 350   , 850.6 , 819.85, 828.07, 929.83
RMQHeuristic, RMQNaive, 3145728, 1804  , 3144548.0, 408   , 971.6 , 927.15, 959.11, 1048.35
RMQHeuristic, RMQNaive, 3145728, 2004  , 3144528.0, 466   , 868.4 , 830.24, 874.13, 904.59
RMQHeuristic, RMQNaive, 3145728, 2204  , 3144508.0, 517   , 835.8 , 835.19, 835.73, 836.99
RMQHeuristic, RMQNaive, 3145728, 2404  , 3144488.0, 594   , 833.1 , 830.38, 832.53, 838.58

RMQHeuristic, RMQNaive, 4194304, 204   , 4193284.0, 21    , 955.8 , 953.52, 954.99, 959.77
RMQHeuristic, RMQNaive, 4194304, 404   , 4193264.0, 42    , 1109.7, 1108.57, 1108.70, 1113.33
RMQHeuristic, RMQNaive, 4194304, 604   , 4193244.0, 70    , 1133.9, 1131.86, 1133.78, 1137.00
RMQHeuristic, RMQNaive, 4194304, 804   , 4193224.0, 107   , 1139.9, 1131.75, 1137.83, 1154.65
RMQHeuristic, RMQNaive, 4194304, 1004  , 4193204.0, 143   , 1144.3, 1142.42, 1143.92, 1148.31
RMQHeuristic, RMQNaive, 4194304, 1204  , 4193184.0, 166   , 1137.6, 1136.86, 1137.29, 1139.26
RMQHeuristic, RMQNaive, 4194304, 1404  , 4193164.0, 211   , 1139.6, 1139.07, 1139.65, 1140.13
RMQHeuristic, RMQNaive, 4194304, 1604  , 4193144.0, 261   , 1128.5, 1127.52, 1127.94, 1130.01
RMQHeuristic, RMQNaive, 4194304, 1804  , 4193124.0, 307   , 1132.9, 1131.36, 1132.46, 1136.06
RMQHeuristic, RMQNaive, 4194304, 2004  , 4193104.0, 355   , 1137.5, 1136.68, 1137.15, 1139.43
RMQHeuristic, RMQNaive, 4194304, 2204  , 4193084.0, 408   , 1129.5, 1128.87, 1129.37, 1130.19
RMQHeuristic, RMQNaive, 4194304, 2404  , 4193064.0, 465   , 1125.6, 1123.83, 1125.62, 1127.07

RMQHeuristic, RMQNaive, 5242880, 204   , 5241860.0, 20    , 1192.7, 1190.61, 1191.58, 1197.25
RMQHeuristic, RMQNaive, 5242880, 404   , 5241840.0, 46    , 1378.8, 1375.97, 1376.35, 1386.90
RMQHeuristic, RMQNaive, 5242880, 604   , 5241820.0, 67    , 1409.0, 1402.84, 1411.41, 1414.30
RMQHeuristic, RMQNaive, 5242880, 804   , 5241800.0, 92    , 1458.3, 1402.80, 1416.16, 1646.55
RMQHeuristic, RMQNaive, 5242880, 1004  , 5241780.0, 121   , 1631.8, 1431.55, 1622.00, 1904.11
RMQHeuristic, RMQNaive, 5242880, 1204  , 5241760.0, 147   , 1419.1, 1416.14, 1417.05, 1426.63
RMQHeuristic, RMQNaive, 5242880, 1404  , 5241740.0, 180   , 1425.8, 1415.67, 1419.97, 1437.87
RMQHeuristic, RMQNaive, 5242880, 1604  , 5241720.0, 226   , 1576.1, 1454.47, 1504.69, 1882.65
RMQHeuristic, RMQNaive, 5242880, 1804  , 5241700.0, 259   , 1561.4, 1531.47, 1554.99, 1605.72
RMQHeuristic, RMQNaive, 5242880, 2004  , 5241680.0, 296   , 1654.5, 1487.37, 1606.77, 1956.00
RMQHeuristic, RMQNaive, 5242880, 2204  , 5241660.0, 322   , 1495.9, 1425.05, 1477.71, 1654.29
RMQHeuristic, RMQNaive, 5242880, 2404  , 5241640.0, 364   , 1451.7, 1420.25, 1464.55, 1477.39

