Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RMQNaive, 1048576, 204   , 1047556.0, 87    , 271.7 , 267.82, 269.05, 280.50
RMQHeuristic, RMQNaive, 1048576, 404   , 1047536.0, 170   , 276.2 , 268.56, 270.72, 300.47
RMQHeuristic, RMQNaive, 1048576, 604   , 1047516.0, 305   , 272.5 , 270.52, 272.00, 275.07
RMQHeuristic, RMQNaive, 1048576, 804   , 1047496.0, 419   , 271.4 , 268.17, 270.05, 278.26
RMQHeuristic, RMQNaive, 1048576, 1004  , 1047476.0, 530   , 273.6 , 271.42, 272.53, 279.04
RMQHeuristic, RMQNaive, 1048576, 1204  , 1047456.0, 686   , 292.0 , 271.85, 286.18, 325.20
RMQHeuristic, RMQNaive, 1048576, 1404  , 1047436.0, 815   , 282.7 , 268.85, 270.47, 304.57
RMQHeuristic, RMQNaive, 1048576, 1604  , 1047416.0, 982   , 294.1 , 276.28, 279.10, 329.38
RMQHeuristic, RMQNaive, 1048576, 1804  , 1047396.0, 1165  , 329.2 , 298.44, 335.56, 351.29
RMQHeuristic, RMQNaive, 1048576, 2004  , 1047376.0, 1340  , 330.8 , 292.59, 317.21, 400.63
RMQHeuristic, RMQNaive, 1048576, 2204  , 1047356.0, 1536  , 309.8 , 290.21, 304.70, 327.56
RMQHeuristic, RMQNaive, 1048576, 2404  , 1047336.0, 1727  , 291.8 , 281.93, 294.14, 296.28

RMQHeuristic, RMQNaive, 2097152, 204   , 2096132.0, 59    , 614.1 , 564.93, 592.60, 675.19
RMQHeuristic, RMQNaive, 2097152, 404   , 2096112.0, 123   , 605.1 , 563.97, 607.61, 661.73
RMQHeuristic, RMQNaive, 2097152, 604   , 2096092.0, 186   , 622.9 , 591.33, 614.50, 697.35
RMQHeuristic, RMQNaive, 2097152, 804   , 2096072.0, 249   , 600.8 , 576.31, 585.38, 659.38
RMQHeuristic, RMQNaive, 2097152, 1004  , 2096052.0, 328   , 630.2 , 583.94, 629.38, 674.23
RMQHeuristic, RMQNaive, 2097152, 1204  , 2096032.0, 394   , 616.6 , 560.55, 602.41, 684.06
RMQHeuristic, RMQNaive, 2097152, 1404  , 2096012.0, 464   , 626.6 , 599.78, 621.69, 665.38
RMQHeuristic, RMQNaive, 2097152, 1604  , 2095992.0, 538   , 609.4 , 547.92, 626.29, 684.29
RMQHeuristic, RMQNaive, 2097152, 1804  , 2095972.0, 623   , 622.1 , 568.01, 626.33, 689.57
RMQHeuristic, RMQNaive, 2097152, 2004  , 2095952.0, 723   , 556.3 , 554.99, 555.69, 558.20
RMQHeuristic, RMQNaive, 2097152, 2204  , 2095932.0, 822   , 571.4 , 563.77, 570.91, 582.37
RMQHeuristic, RMQNaive, 2097152, 2404  , 2095912.0, 913   , 559.7 , 558.63, 559.56, 561.05

RMQHeuristic, RMQNaive, 3145728, 204   , 3144708.0, 42    , 786.9 , 784.40, 787.57, 788.23
RMQHeuristic, RMQNaive, 3145728, 404   , 3144688.0, 79    , 831.5 , 828.79, 829.64, 838.85
RMQHeuristic, RMQNaive, 3145728, 604   , 3144668.0, 121   , 848.8 , 844.31, 845.90, 861.29
RMQHeuristic, RMQNaive, 3145728, 804   , 3144648.0, 143   , 873.7 , 837.70, 882.85, 891.33
RMQHeuristic, RMQNaive, 3145728, 1004  , 3144628.0, 176   , 905.0 , 899.91, 904.10, 915.37
RMQHeuristic, RMQNaive, 3145728, 1204  , 3144608.0, 226   , 886.9 , 879.62, 886.54, 895.12
RMQHeuristic, RMQNaive, 3145728, 1404  , 3144588.0, 280   , 902.1 , 894.84, 897.97, 918.50
RMQHeuristic, RMQNaive, 3145728, 1604  , 3144568.0, 350   , 854.4 , 832.48, 848.04, 882.02
RMQHeuristic, RMQNaive, 3145728, 1804  , 3144548.0, 408   , 841.4 , 840.92, 841.35, 841.91
RMQHeuristic, RMQNaive, 3145728, 2004  , 3144528.0, 466   , 830.0 , 822.78, 831.68, 838.62
RMQHeuristic, RMQNaive, 3145728, 2204  , 3144508.0, 517   , 846.9 , 845.23, 845.98, 850.14
RMQHeuristic, RMQNaive, 3145728, 2404  , 3144488.0, 594   , 843.0 , 840.40, 841.27, 850.08

