Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
F-pairs, RMQNaive, 191672, 2     , 1.6   , 320   , 0.4   , 0.15  , 0.23  , 1.21  
F-pairs, RMQNaive, 191672, 3     , 1.9   , 732   , 0.4   , 0.32  , 0.38  , 0.60  
F-pairs, RMQNaive, 191672, 4     , 2.2   , 258   , 0.1   , 0.09  , 0.09  , 0.15  
F-pairs, RMQNaive, 191672, 5     , 2.7   , 402   , 0.1   , 0.12  , 0.12  , 0.15  
F-pairs, RMQNaive, 191672, 6     , 3.2   , 178   , 0.1   , 0.05  , 0.05  , 0.13  
F-pairs, RMQNaive, 191672, 7     , 3.9   , 235   , 0.1   , 0.06  , 0.06  , 0.07  
F-pairs, RMQNaive, 191672, 8     , 4.7   , 120   , 0.0   , 0.03  , 0.03  , 0.04  
F-pairs, RMQNaive, 191672, 9     , 5.6   , 94    , 0.0   , 0.02  , 0.02  , 0.03  
F-pairs, RMQNaive, 191672, 10    , 6.7   , 78    , 0.0   , 0.02  , 0.02  , 0.02  
F-pairs, RMQNaive, 191672, 11    , 8.0   , 0     , 0.0   , 0.00  , 0.00  , 0.00  
F-pairs, RMQNaive, 191672, 12    , 9.7   , 0     , 0.0   , 0.00  , 0.00  , 0.00  
F-pairs, RMQNaive, 191672, 13    , 11.6  , 0     , 0.0   , 0.00  , 0.00  , 0.00  

F-pairs, RMQNaive, 195708, 2     , 1.6   , 333   , 0.2   , 0.16  , 0.17  , 0.39  
F-pairs, RMQNaive, 195708, 3     , 1.9   , 732   , 0.7   , 0.31  , 0.41  , 1.81  
F-pairs, RMQNaive, 195708, 4     , 2.2   , 232   , 0.1   , 0.08  , 0.08  , 0.11  
F-pairs, RMQNaive, 195708, 5     , 2.7   , 360   , 0.1   , 0.11  , 0.11  , 0.13  
F-pairs, RMQNaive, 195708, 6     , 3.2   , 211   , 0.1   , 0.06  , 0.06  , 0.07  
F-pairs, RMQNaive, 195708, 7     , 3.9   , 288   , 0.1   , 0.07  , 0.07  , 0.08  
F-pairs, RMQNaive, 195708, 8     , 4.7   , 179   , 0.1   , 0.04  , 0.04  , 0.08  
F-pairs, RMQNaive, 195708, 9     , 5.6   , 81    , 0.0   , 0.02  , 0.02  , 0.03  
F-pairs, RMQNaive, 195708, 10    , 6.7   , 25    , 0.0   , 0.01  , 0.01  , 0.01  
F-pairs, RMQNaive, 195708, 11    , 8.0   , 0     , 0.0   , 0.00  , 0.00  , 0.00  
F-pairs, RMQNaive, 195708, 12    , 9.7   , 0     , 0.0   , 0.00  , 0.00  , 0.00  
F-pairs, RMQNaive, 195708, 13    , 11.6  , 0     , 0.0   , 0.00  , 0.00  , 0.00  

F-pairs, RMQNaive, 142941, 2     , 1.6   , 9260  , 5.3   , 4.97  , 5.00  , 6.30  
F-pairs, RMQNaive, 142941, 3     , 1.9   , 17426 , 7.4   , 7.25  , 7.36  , 7.67  
F-pairs, RMQNaive, 142941, 4     , 2.2   , 5641  , 3.0   , 2.90  , 2.97  , 3.07  
F-pairs, RMQNaive, 142941, 5     , 2.7   , 8616  , 3.9   , 3.85  , 3.87  , 4.02  
F-pairs, RMQNaive, 142941, 6     , 3.2   , 3823  , 1.9   , 1.84  , 1.93  , 2.00  
