Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RMQNaive, 191672, 2     , 1.6   , 320   , 5.5   , 5.50  , 5.54  , 5.60  
RMQHeuristic, RMQNaive, 191672, 3     , 1.9   , 732   , 6.1   , 6.02  , 6.07  , 6.17  
RMQHeuristic, RMQNaive, 191672, 4     , 2.2   , 258   , 6.6   , 6.55  , 6.55  , 6.75  
RMQHeuristic, RMQNaive, 191672, 5     , 2.7   , 402   , 7.1   , 7.05  , 7.12  , 7.24  
RMQHeuristic, RMQNaive, 191672, 6     , 3.2   , 178   , 7.7   , 7.59  , 7.65  , 7.79  
RMQHeuristic, RMQNaive, 191672, 7     , 3.9   , 235   , 8.5   , 8.39  , 8.53  , 8.62  
RMQHeuristic, RMQNaive, 191672, 8     , 4.7   , 120   , 9.5   , 9.43  , 9.49  , 9.68  
RMQHeuristic, RMQNaive, 191672, 9     , 5.6   , 94    , 11.6  , 11.54 , 11.57 , 11.63 
RMQHeuristic, RMQNaive, 191672, 10    , 6.7   , 78    , 13.1  , 12.95 , 13.06 , 13.21 
RMQHeuristic, RMQNaive, 191672, 11    , 8.0   , 0     , 14.0  , 13.88 , 13.96 , 14.16 
RMQHeuristic, RMQNaive, 191672, 12    , 9.7   , 0     , 14.5  , 14.39 , 14.50 , 14.66 
RMQHeuristic, RMQNaive, 191672, 13    , 11.6  , 0     , 15.3  , 15.22 , 15.25 , 15.29 

RMQHeuristic, RMQNaive, 195708, 2     , 1.6   , 333   , 5.6   , 5.50  , 5.55  , 5.73  
RMQHeuristic, RMQNaive, 195708, 3     , 1.9   , 732   , 6.2   , 6.21  , 6.22  , 6.31  
RMQHeuristic, RMQNaive, 195708, 4     , 2.2   , 232   , 6.7   , 6.59  , 6.71  , 6.79  
RMQHeuristic, RMQNaive, 195708, 5     , 2.7   , 360   , 7.3   , 7.25  , 7.28  , 7.53  
RMQHeuristic, RMQNaive, 195708, 6     , 3.2   , 211   , 7.9   , 7.85  , 7.94  , 8.10  
RMQHeuristic, RMQNaive, 195708, 7     , 3.9   , 288   , 8.8   , 8.73  , 8.79  , 8.93  
RMQHeuristic, RMQNaive, 195708, 8     , 4.7   , 179   , 9.7   , 9.61  , 9.74  , 9.77  
RMQHeuristic, RMQNaive, 195708, 9     , 5.6   , 81    , 11.8  , 11.76 , 11.79 , 11.99 
RMQHeuristic, RMQNaive, 195708, 10    , 6.7   , 25    , 13.4  , 13.25 , 13.35 , 13.65 
RMQHeuristic, RMQNaive, 195708, 11    , 8.0   , 0     , 14.3  , 14.22 , 14.25 , 14.40 
RMQHeuristic, RMQNaive, 195708, 12    , 9.7   , 0     , 14.8  , 14.78 , 14.84 , 14.85 
RMQHeuristic, RMQNaive, 195708, 13    , 11.6  , 0     , 15.6  , 15.57 , 15.64 , 15.73 

RMQHeuristic, RMQNaive, 142941, 2     , 1.6   , 9260  , 4.4   , 4.36  , 4.40  , 4.50  
RMQHeuristic, RMQNaive, 142941, 3     , 1.9   , 17426 , 5.2   , 5.14  , 5.21  , 5.23  
RMQHeuristic, RMQNaive, 142941, 4     , 2.2   , 5641  , 5.1   , 5.06  , 5.07  , 5.30  
RMQHeuristic, RMQNaive, 142941, 5     , 2.7   , 8616  , 5.7   , 5.59  , 5.65  , 5.73  
RMQHeuristic, RMQNaive, 142941, 6     , 3.2   , 3823  , 6.0   , 5.93  , 6.01  , 6.02  
RMQHeuristic, RMQNaive, 142941, 7     , 3.9   , 5258  , 6.5   , 6.50  , 6.58  , 6.59  
RMQHeuristic, RMQNaive, 142941, 8     , 4.7   , 3085  , 7.3   , 7.20  , 7.23  , 7.39  
RMQHeuristic, RMQNaive, 142941, 9     , 5.6   , 1870  , 8.8   , 8.68  , 8.81  , 8.92  
RMQHeuristic, RMQNaive, 142941, 10    , 6.7   , 1190  , 9.9   , 9.72  , 9.81  , 10.18 
RMQHeuristic, RMQNaive, 142941, 11    , 8.0   , 421   , 10.4  , 10.37 , 10.42 , 10.45 
RMQHeuristic, RMQNaive, 142941, 12    , 9.7   , 350   , 10.8  , 10.73 , 10.81 , 10.86 
RMQHeuristic, RMQNaive, 142941, 13    , 11.6  , 232   , 11.4  , 11.35 , 11.42 , 11.45 

RMQHeuristic, RMQNaive, 137257, 2     , 1.6   , 914   , 4.0   , 3.88  , 3.96  , 4.04  
RMQHeuristic, RMQNaive, 137257, 3     , 1.9   , 2158  , 4.5   , 4.33  , 4.37  , 5.19  
RMQHeuristic, RMQNaive, 137257, 4     , 2.2   , 960   , 4.7   , 4.62  , 4.66  , 4.69  
RMQHeuristic, RMQNaive, 137257, 5     , 2.7   , 1518  , 5.1   , 5.03  , 5.05  , 5.24  
RMQHeuristic, RMQNaive, 137257, 6     , 3.2   , 849   , 5.6   , 5.48  , 5.61  , 5.70  
RMQHeuristic, RMQNaive, 137257, 7     , 3.9   , 1171  , 6.1   , 6.03  , 6.16  , 6.20  
