Heuristic,RMQ,Serie,t,d,ans,av_time,min,med,max
F-pairs,RMQNaive,1048576,804,1046876.0,1033,3.0,2.98,3.02,3.12
F-pairs,RMQNaive,1048576,1604,1046176.0,4376,9.2,9.08,9.21,9.41
F-pairs,RMQNaive,1048576,2404,1045476.0,11052,18.1,18.02,18.11,18.14
F-pairs,RMQNaive,1048576,3204,1044776.0,22097,31.1,30.99,31.05,31.15
F-pairs,RMQNaive,1048576,4004,1044076.0,38695,49.1,48.95,48.95,49.30
F-pairs,RMQNaive,1048576,4804,1043376.0,61788,72.9,72.61,72.86,73.38
F-pairs,RMQNaive,1048576,5604,1042676.0,92638,104.1,102.87,103.44,106.16
F-pairs,RMQNaive,1048576,6404,1041976.0,132596,140.5,139.77,140.17,142.20
F-pairs,RMQNaive,1048576,7204,1041276.0,182559,186.0,185.50,185.69,186.58
F-pairs,RMQNaive,1048576,8004,1040576.0,243662,247.5,242.71,248.09,251.09
F-pairs,RMQNaive,1048576,8804,1039876.0,316762,306.4,306.17,306.44,306.53
F-pairs,RMQNaive,1048576,9604,1039176.0,403232,384.6,381.68,382.84,392.91
F-pairs,RMQNaive,1048576,10404,1038476.0,503931,469.0,468.66,468.95,469.62
F-pairs,RMQNaive,1048576,11204,1037776.0,620161,568.8,564.47,565.44,580.17
F-pairs,RMQNaive,1048576,12004,1037076.0,753711,676.2,674.74,676.54,677.55
F-pairs,RMQNaive,1048576,12804,1036376.0,903745,790.3,788.58,790.01,792.88
F-pairs,RMQNaive,1048576,13604,1035676.0,1072944,925.8,917.55,919.19,953.59
F-pairs,RMQNaive,1048576,14404,1034976.0,1262066,1060.5,1058.20,1060.86,1061.79
F-pairs,RMQNaive,1048576,15204,1034276.0,1471675,1210.0,1205.68,1209.76,1215.62
F-pairs,RMQNaive,1048576,16004,1033576.0,1703227,1373.5,1371.12,1372.50,1380.11
F-pairs,RMQNaive,1048576,16804,1032876.0,1958462,1565.5,1548.86,1551.97,1623.82
F-pairs,RMQNaive,1048576,17604,1032176.0,2238370,1742.0,1740.99,1741.16,1744.39
F-pairs,RMQNaive,1048576,18404,1031476.0,2542360,1944.0,1942.23,1942.93,1948.63
F-pairs,RMQNaive,1048576,19204,1030776.0,2872657,2162.2,2160.74,2161.32,2164.22
F-pairs,RMQNaive,1048576,20004,1030076.0,3230850,2424.3,2394.13,2397.14,2537.73
F-pairs,RMQNaive,1048576,20804,1029376.0,3617693,2642.9,2636.83,2639.74,2660.86
F-pairs,RMQNaive,1048576,21604,1028676.0,4033934,2899.3,2897.35,2899.24,2901.08
F-pairs,RMQNaive,1048576,22404,1027976.0,4481978,3236.7,3218.51,3220.12,3279.97
F-pairs,RMQNaive,1048576,23204,1027276.0,4959592,3507.3,3505.87,3507.24,3508.69
F-pairs,RMQNaive,1048576,24004,1026576.0,5471299,3841.4,3760.14,3768.02,4105.45

F-pairs,RMQNaive,2097152,804,2095452.0,596,2.1,2.09,2.10,2.18
F-pairs,RMQNaive,2097152,1604,2094752.0,2282,6.4,6.40,6.45,6.46
F-pairs,RMQNaive,2097152,2404,2094052.0,5681,13.0,12.88,12.91,13.14
F-pairs,RMQNaive,2097152,3204,2093352.0,11264,21.8,21.75,21.77,21.79
F-pairs,RMQNaive,2097152,4004,2092652.0,19544,33.2,33.14,33.16,33.34
F-pairs,RMQNaive,2097152,4804,2091952.0,31054,47.6,47.52,47.57,47.65
F-pairs,RMQNaive,2097152,5604,2091252.0,46430,66.6,66.42,66.49,66.99
F-pairs,RMQNaive,2097152,6404,2090552.0,66153,89.3,89.15,89.29,89.39
F-pairs,RMQNaive,2097152,7204,2089852.0,91286,118.3,117.42,117.70,120.79
F-pairs,RMQNaive,2097152,8004,2089152.0,121988,151.5,151.13,151.21,152.50
F-pairs,RMQNaive,2097152,8804,2088452.0,158869,190.0,189.83,190.09,190.20
F-pairs,RMQNaive,2097152,9604,2087752.0,202089,235.7,234.57,235.03,238.29
F-pairs,RMQNaive,2097152,10404,2087052.0,252771,287.1,286.41,286.97,288.43
F-pairs,RMQNaive,2097152,11204,2086352.0,310958,362.1,345.90,350.80,388.66
F-pairs,RMQNaive,2097152,12004,2085652.0,377332,411.7,411.37,411.69,412.09
F-pairs,RMQNaive,2097152,12804,2084952.0,453158,485.7,484.68,484.98,488.57
F-pairs,RMQNaive,2097152,13604,2084252.0,538146,566.7,565.85,566.39,568.89
F-pairs,RMQNaive,2097152,14404,2083552.0,633763,656.5,655.88,655.91,657.92
F-pairs,RMQNaive,2097152,15204,2082852.0,740095,755.3,753.86,754.63,758.53
F-pairs,RMQNaive,2097152,16004,2082152.0,856862,861.5,860.31,861.56,863.35
F-pairs,RMQNaive,2097152,16804,2081452.0,985428,980.8,975.51,977.18,996.85
F-pairs,RMQNaive,2097152,17604,2080752.0,1125783,1099.8,1098.20,1099.04,1103.03
F-pairs,RMQNaive,2097152,18404,2080052.0,1278650,1237.1,1230.58,1233.18,1255.64
F-pairs,RMQNaive,2097152,19204,2079352.0,1444865,1375.3,1371.04,1374.15,1380.82
F-pairs,RMQNaive,2097152,20004,2078652.0,1625768,1522.4,1521.40,1522.40,1523.50
F-pairs,RMQNaive,2097152,20804,2077952.0,1820557,1709.7,1682.52,1686.35,1802.60
F-pairs,RMQNaive,2097152,21604,2077252.0,2030927,1906.8,1864.18,1916.72,1965.49
F-pairs,RMQNaive,2097152,22404,2076552.0,2257137,2043.7,2041.10,2042.30,2048.07
F-pairs,RMQNaive,2097152,23204,2075852.0,2497908,2242.1,2231.32,2236.42,2269.88
F-pairs,RMQNaive,2097152,24004,2075152.0,2756775,2448.1,2441.58,2447.77,2454.06

F-pairs,RMQNaive,3145728,804,3144028.0,371,1.4,1.40,1.41,1.57
F-pairs,RMQNaive,3145728,1604,3143328.0,1488,5.0,4.90,4.95,5.07
F-pairs,RMQNaive,3145728,2404,3142628.0,3839,10.4,10.35,10.36,10.39
F-pairs,RMQNaive,3145728,3204,3141928.0,7487,17.3,17.25,17.30,17.52
F-pairs,RMQNaive,3145728,4004,3141228.0,13037,26.5,26.40,26.49,26.68
F-pairs,RMQNaive,3145728,4804,3140528.0,20788,38.2,38.05,38.16,38.67
F-pairs,RMQNaive,3145728,5604,3139828.0,31189,52.5,52.32,52.48,52.58
F-pairs,RMQNaive,3145728,6404,3139128.0,44547,70.2,70.10,70.14,70.48
F-pairs,RMQNaive,3145728,7204,3138428.0,61271,91.2,91.11,91.13,91.36
F-pairs,RMQNaive,3145728,8004,3137728.0,81493,115.3,114.64,114.83,117.24
F-pairs,RMQNaive,3145728,8804,3137028.0,105909,143.5,143.07,143.38,144.31
F-pairs,RMQNaive,3145728,9604,3136328.0,135076,177.1,176.86,177.15,177.29
F-pairs,RMQNaive,3145728,10404,3135628.0,168644,216.3,215.70,215.96,217.81
F-pairs,RMQNaive,3145728,11204,3134928.0,207784,260.2,259.94,260.20,260.35
F-pairs,RMQNaive,3145728,12004,3134228.0,252673,309.6,309.20,309.56,310.15
F-pairs,RMQNaive,3145728,12804,3133528.0,302808,363.1,362.68,363.17,363.53
F-pairs,RMQNaive,3145728,13604,3132828.0,359938,425.2,423.64,424.37,427.93
F-pairs,RMQNaive,3145728,14404,3132128.0,423088,491.8,489.91,490.72,494.99
F-pairs,RMQNaive,3145728,15204,3131428.0,493539,566.5,564.79,566.49,568.82
F-pairs,RMQNaive,3145728,16004,3130728.0,571648,648.1,647.12,648.23,649.73
F-pairs,RMQNaive,3145728,16804,3130028.0,657974,736.0,734.46,735.97,737.98
F-pairs,RMQNaive,3145728,17604,3129328.0,751454,831.3,829.10,830.35,834.55
F-pairs,RMQNaive,3145728,18404,3128628.0,853587,932.6,930.93,932.63,933.74
F-pairs,RMQNaive,3145728,19204,3127928.0,964838,1041.0,1040.04,1041.18,1042.08
F-pairs,RMQNaive,3145728,20004,3127228.0,1085165,1162.2,1157.27,1160.44,1174.26
F-pairs,RMQNaive,3145728,20804,3126528.0,1215746,1284.6,1282.34,1283.19,1288.78
F-pairs,RMQNaive,3145728,21604,3125828.0,1356224,1421.1,1415.02,1416.86,1437.22
F-pairs,RMQNaive,3145728,22404,3125128.0,1507241,1560.7,1559.17,1560.35,1563.08
F-pairs,RMQNaive,3145728,23204,3124428.0,1669070,1816.5,1705.64,1706.67,2256.66
F-pairs,RMQNaive,3145728,24004,3123728.0,1841806,1868.1,1865.97,1867.95,1871.42

F-pairs,RMQNaive,4194304,804,4192604.0,257,1.0,0.87,0.90,1.21
F-pairs,RMQNaive,4194304,1604,4191904.0,1092,4.1,4.07,4.13,4.17
F-pairs,RMQNaive,4194304,2404,4191204.0,2786,8.9,8.79,8.82,9.04
F-pairs,RMQNaive,4194304,3204,4190504.0,5634,14.9,14.88,14.93,15.00
F-pairs,RMQNaive,4194304,4004,4189804.0,9847,23.2,22.96,23.11,23.60
F-pairs,RMQNaive,4194304,4804,4189104.0,15692,32.9,32.65,32.74,33.83
F-pairs,RMQNaive,4194304,5604,4188404.0,23496,44.5,44.35,44.49,44.64
F-pairs,RMQNaive,4194304,6404,4187704.0,33695,59.5,59.31,59.32,60.03
F-pairs,RMQNaive,4194304,7204,4187004.0,46108,76.3,76.13,76.27,76.41
F-pairs,RMQNaive,4194304,8004,4186304.0,61418,96.4,96.33,96.37,96.74
F-pairs,RMQNaive,4194304,8804,4185604.0,79983,120.2,119.63,119.81,122.17
F-pairs,RMQNaive,4194304,9604,4184904.0,101893,147.1,146.85,146.97,147.44
F-pairs,RMQNaive,4194304,10404,4184204.0,127159,177.8,177.37,177.52,178.90
F-pairs,RMQNaive,4194304,11204,4183504.0,156247,211.6,211.38,211.57,212.16
F-pairs,RMQNaive,4194304,12004,4182804.0,189586,250.5,250.13,250.34,251.12
F-pairs,RMQNaive,4194304,12804,4182104.0,227394,294.2,293.80,293.95,294.87
F-pairs,RMQNaive,4194304,13604,4181404.0,270221,343.4,342.59,342.71,345.35
F-pairs,RMQNaive,4194304,14404,4180704.0,317879,396.5,395.97,396.27,397.12
F-pairs,RMQNaive,4194304,15204,4180004.0,370839,455.2,454.82,455.10,455.73
F-pairs,RMQNaive,4194304,16004,4179304.0,429653,519.4,518.25,518.67,522.29
F-pairs,RMQNaive,4194304,16804,4178604.0,494132,588.9,587.43,588.77,591.02
F-pairs,RMQNaive,4194304,17604,4177904.0,564801,670.4,662.89,665.13,686.16
F-pairs,RMQNaive,4194304,18404,4177204.0,641416,744.8,743.71,744.10,747.23
F-pairs,RMQNaive,4194304,19204,4176504.0,724733,837.5,832.57,835.13,850.76
F-pairs,RMQNaive,4194304,20004,4175804.0,815338,932.2,928.66,930.87,938.14
F-pairs,RMQNaive,4194304,20804,4175104.0,912777,1031.9,1028.88,1031.02,1035.80
F-pairs,RMQNaive,4194304,21604,4174404.0,1018932,1138.2,1137.43,1137.88,1139.54
F-pairs,RMQNaive,4194304,22404,4173704.0,1132028,1255.8,1254.89,1255.63,1256.70
F-pairs,RMQNaive,4194304,23204,4173004.0,1252912,1376.5,1374.36,1376.19,1379.26
F-pairs,RMQNaive,4194304,24004,4172304.0,1382252,1503.2,1501.11,1503.13,1505.93

F-pairs,RMQNaive,5242880,804,5241180.0,228,0.8,0.75,0.76,1.08
F-pairs,RMQNaive,5242880,1604,5240480.0,908,3.6,3.55,3.61,3.67
F-pairs,RMQNaive,5242880,2404,5239780.0,2171,7.5,7.47,7.49,7.49
F-pairs,RMQNaive,5242880,3204,5239080.0,4368,13.0,12.96,13.01,13.08
F-pairs,RMQNaive,5242880,4004,5238380.0,7750,20.2,20.07,20.09,20.38
F-pairs,RMQNaive,5242880,4804,5237680.0,12454,28.6,28.52,28.56,28.66
F-pairs,RMQNaive,5242880,5604,5236980.0,18930,39.6,39.46,39.52,39.92
F-pairs,RMQNaive,5242880,6404,5236280.0,26982,52.5,52.26,52.34,52.87
F-pairs,RMQNaive,5242880,7204,5235580.0,36957,67.0,66.87,66.98,67.29
F-pairs,RMQNaive,5242880,8004,5234880.0,49065,84.3,84.04,84.23,84.63
F-pairs,RMQNaive,5242880,8804,5234180.0,63849,104.1,103.89,104.16,104.41
F-pairs,RMQNaive,5242880,9604,5233480.0,81264,127.2,126.91,127.23,127.32
F-pairs,RMQNaive,5242880,10404,5232780.0,101554,153.6,153.12,153.25,154.75
F-pairs,RMQNaive,5242880,11204,5232080.0,124915,182.6,182.41,182.52,182.80
F-pairs,RMQNaive,5242880,12004,5231380.0,151588,215.6,215.45,215.65,215.90
F-pairs,RMQNaive,5242880,12804,5230680.0,182233,253.5,252.84,252.95,255.40
F-pairs,RMQNaive,5242880,13604,5229980.0,216503,294.0,293.95,294.01,294.26
F-pairs,RMQNaive,5242880,14404,5229280.0,254278,340.3,337.69,338.17,347.92
F-pairs,RMQNaive,5242880,15204,5228580.0,296860,388.0,387.39,387.58,389.03
F-pairs,RMQNaive,5242880,16004,5227880.0,343626,441.8,441.38,441.72,442.36
F-pairs,RMQNaive,5242880,16804,5227180.0,395213,500.2,499.38,499.65,501.88
F-pairs,RMQNaive,5242880,17604,5226480.0,451772,563.3,562.29,563.04,565.33
F-pairs,RMQNaive,5242880,18404,5225780.0,513137,637.5,631.42,631.80,648.98
F-pairs,RMQNaive,5242880,19204,5225080.0,580164,706.9,705.67,706.55,708.68
F-pairs,RMQNaive,5242880,20004,5224380.0,652805,787.1,786.12,786.22,788.59
F-pairs,RMQNaive,5242880,20804,5223680.0,730827,874.5,872.29,873.95,877.91
F-pairs,RMQNaive,5242880,21604,5222980.0,815629,964.0,962.66,963.99,965.25
F-pairs,RMQNaive,5242880,22404,5222280.0,905902,1061.1,1059.17,1060.19,1064.38
F-pairs,RMQNaive,5242880,23204,5221580.0,1003408,1164.4,1163.02,1164.07,1166.95
F-pairs,RMQNaive,5242880,24004,5220880.0,1106976,1272.8,1271.51,1272.88,1274.37
