Heuristic,RMQ,Serie,t,d,ans,av_time,min,med,max
RMQHeuristic,RMQNaive,1048576,804,1046876.0,1033,303.6,272.16,279.50,346.86
RMQHeuristic,RMQNaive,1048576,1604,1046176.0,4376,298.8,278.93,309.63,310.25
RMQHeuristic,RMQNaive,1048576,2404,1045476.0,11052,281.4,272.58,279.54,301.38
RMQHeuristic,RMQNaive,1048576,3204,1044776.0,22097,275.3,275.08,275.31,275.41
RMQHeuristic,RMQNaive,1048576,4004,1044076.0,38695,286.0,284.81,286.00,286.81
RMQHeuristic,RMQNaive,1048576,4804,1043376.0,61788,306.4,299.47,301.34,329.36
RMQHeuristic,RMQNaive,1048576,5604,1042676.0,92638,320.1,310.12,312.13,343.63
RMQHeuristic,RMQNaive,1048576,6404,1041976.0,132596,410.5,375.72,386.48,476.31
RMQHeuristic,RMQNaive,1048576,7204,1041276.0,182559,379.8,359.74,382.12,408.38
RMQHeuristic,RMQNaive,1048576,8004,1040576.0,243662,388.4,385.58,386.69,396.20
RMQHeuristic,RMQNaive,1048576,8804,1039876.0,316762,423.7,421.21,423.93,425.97
RMQHeuristic,RMQNaive,1048576,9604,1039176.0,403232,473.0,465.63,471.05,490.02
RMQHeuristic,RMQNaive,1048576,10404,1038476.0,503931,509.2,506.39,506.83,514.98
RMQHeuristic,RMQNaive,1048576,11204,1037776.0,620161,562.5,561.95,562.25,563.52
RMQHeuristic,RMQNaive,1048576,12004,1037076.0,753711,625.1,624.49,624.57,627.25
RMQHeuristic,RMQNaive,1048576,12804,1036376.0,903745,704.5,698.72,702.47,712.59
RMQHeuristic,RMQNaive,1048576,13604,1035676.0,1072944,792.8,774.01,796.83,818.61
RMQHeuristic,RMQNaive,1048576,14404,1034976.0,1262066,867.3,862.62,864.55,881.16
RMQHeuristic,RMQNaive,1048576,15204,1034276.0,1471675,956.0,954.42,956.59,956.68
RMQHeuristic,RMQNaive,1048576,16004,1033576.0,1703227,1074.0,1060.24,1064.99,1115.18
RMQHeuristic,RMQNaive,1048576,16804,1032876.0,1958462,1179.1,1176.89,1178.62,1181.18
RMQHeuristic,RMQNaive,1048576,17604,1032176.0,2238370,1322.8,1301.14,1332.18,1335.42
RMQHeuristic,RMQNaive,1048576,18404,1031476.0,2542360,1451.2,1440.48,1442.27,1480.17
RMQHeuristic,RMQNaive,1048576,19204,1030776.0,2872657,1579.6,1576.30,1576.49,1592.34
RMQHeuristic,RMQNaive,1048576,20004,1030076.0,3230850,1733.0,1732.23,1732.72,1734.49
RMQHeuristic,RMQNaive,1048576,20804,1029376.0,3617693,1897.2,1896.92,1897.09,1897.46
RMQHeuristic,RMQNaive,1048576,21604,1028676.0,4033934,2077.5,2076.71,2077.13,2079.53
RMQHeuristic,RMQNaive,1048576,22404,1027976.0,4481978,2269.4,2268.19,2269.57,2271.45
RMQHeuristic,RMQNaive,1048576,23204,1027276.0,4959592,2485.3,2472.60,2482.78,2511.70
RMQHeuristic,RMQNaive,1048576,24004,1026576.0,5471299,2693.0,2690.02,2690.33,2703.33

RMQHeuristic,RMQNaive,2097152,804,2095452.0,596,539.5,539.36,539.41,539.61
RMQHeuristic,RMQNaive,2097152,1604,2094752.0,2282,538.9,538.34,538.52,540.58
RMQHeuristic,RMQNaive,2097152,2404,2094052.0,5681,552.1,551.96,552.04,552.24
RMQHeuristic,RMQNaive,2097152,3204,2093352.0,11264,552.6,552.43,552.60,552.74
RMQHeuristic,RMQNaive,2097152,4004,2092652.0,19544,561.0,560.84,560.94,561.21
RMQHeuristic,RMQNaive,2097152,4804,2091952.0,31054,568.3,568.23,568.32,568.42
RMQHeuristic,RMQNaive,2097152,5604,2091252.0,46430,570.9,570.19,570.31,573.07
RMQHeuristic,RMQNaive,2097152,6404,2090552.0,66153,582.6,582.58,582.64,582.70
RMQHeuristic,RMQNaive,2097152,7204,2089852.0,91286,597.2,597.08,597.13,597.34
RMQHeuristic,RMQNaive,2097152,8004,2089152.0,121988,612.7,612.65,612.72,612.79
RMQHeuristic,RMQNaive,2097152,8804,2088452.0,158869,629.1,629.07,629.12,629.15
RMQHeuristic,RMQNaive,2097152,9604,2087752.0,202089,650.1,649.96,650.09,650.42
RMQHeuristic,RMQNaive,2097152,10404,2087052.0,252771,679.4,678.74,678.94,680.96
RMQHeuristic,RMQNaive,2097152,11204,2086352.0,310958,707.7,707.39,707.86,707.92
RMQHeuristic,RMQNaive,2097152,12004,2085652.0,377332,743.0,742.69,742.99,743.47
RMQHeuristic,RMQNaive,2097152,12804,2084952.0,453158,782.5,782.28,782.48,782.80
RMQHeuristic,RMQNaive,2097152,13604,2084252.0,538146,825.7,825.10,825.29,827.25
RMQHeuristic,RMQNaive,2097152,14404,2083552.0,633763,874.4,874.17,874.35,874.62
RMQHeuristic,RMQNaive,2097152,15204,2082852.0,740095,932.5,932.31,932.48,932.74
RMQHeuristic,RMQNaive,2097152,16004,2082152.0,856862,985.7,985.16,985.24,987.67
