Heuristic,RMQ,Serie,t,d,ans,av_time,min,med,max
RMQHeuristic,RMQSt,1048576,804,1046876.0,1033,127.2,109.81,120.03,148.93
RMQHeuristic,RMQSt,1048576,1604,1046176.0,4376,113.4,110.11,112.37,121.17
RMQHeuristic,RMQSt,1048576,2404,1045476.0,11052,115.0,111.62,114.05,119.41
RMQHeuristic,RMQSt,1048576,3204,1044776.0,22097,117.2,115.55,116.35,119.09
RMQHeuristic,RMQSt,1048576,4004,1044076.0,38695,126.7,124.03,125.24,134.48
RMQHeuristic,RMQSt,1048576,4804,1043376.0,61788,126.2,123.26,126.72,129.65
RMQHeuristic,RMQSt,1048576,5604,1042676.0,92638,132.1,131.47,131.80,133.65
RMQHeuristic,RMQSt,1048576,6404,1041976.0,132596,142.7,138.89,142.92,145.21
RMQHeuristic,RMQSt,1048576,7204,1041276.0,182559,158.0,154.36,157.92,164.53
RMQHeuristic,RMQSt,1048576,8004,1040576.0,243662,172.4,171.16,171.37,175.31
RMQHeuristic,RMQSt,1048576,8804,1039876.0,316762,180.7,180.30,180.70,181.18
RMQHeuristic,RMQSt,1048576,9604,1039176.0,403232,213.7,207.37,211.88,227.22
RMQHeuristic,RMQSt,1048576,10404,1038476.0,503931,238.1,232.37,237.25,248.25
RMQHeuristic,RMQSt,1048576,11204,1037776.0,620161,269.5,262.21,271.62,278.14
RMQHeuristic,RMQSt,1048576,12004,1037076.0,753711,302.9,295.77,298.54,321.28
RMQHeuristic,RMQSt,1048576,12804,1036376.0,903745,349.1,339.49,345.83,362.88
RMQHeuristic,RMQSt,1048576,13604,1035676.0,1072944,392.9,383.13,395.06,398.74
RMQHeuristic,RMQSt,1048576,14404,1034976.0,1262066,445.8,436.70,444.02,460.04
RMQHeuristic,RMQSt,1048576,15204,1034276.0,1471675,491.5,480.44,490.40,503.55
RMQHeuristic,RMQSt,1048576,16004,1033576.0,1703227,544.1,526.24,541.05,561.00
RMQHeuristic,RMQSt,1048576,16804,1032876.0,1958462,583.9,565.90,573.52,634.23
RMQHeuristic,RMQSt,1048576,17604,1032176.0,2238370,633.5,631.24,633.10,636.16
RMQHeuristic,RMQSt,1048576,18404,1031476.0,2542360,706.6,702.28,703.85,711.83
RMQHeuristic,RMQSt,1048576,19204,1030776.0,2872657,790.0,784.57,788.51,795.99
RMQHeuristic,RMQSt,1048576,20004,1030076.0,3230850,884.6,875.27,883.57,901.96
RMQHeuristic,RMQSt,1048576,20804,1029376.0,3617693,1002.4,973.55,976.54,1093.46
RMQHeuristic,RMQSt,1048576,21604,1028676.0,4033934,1065.9,1058.21,1069.36,1071.71
RMQHeuristic,RMQSt,1048576,22404,1027976.0,4481978,1165.8,1155.05,1157.92,1200.82
RMQHeuristic,RMQSt,1048576,23204,1027276.0,4959592,1286.5,1265.41,1287.80,1302.03
RMQHeuristic,RMQSt,1048576,24004,1026576.0,5471299,1461.8,1402.87,1420.51,1557.40

RMQHeuristic,RMQSt,2097152,804,2095452.0,596,287.3,282.21,283.12,296.04
RMQHeuristic,RMQSt,2097152,1604,2094752.0,2282,274.7,274.42,274.70,274.79
RMQHeuristic,RMQSt,2097152,2404,2094052.0,5681,289.7,288.36,288.84,291.70
RMQHeuristic,RMQSt,2097152,3204,2093352.0,11264,277.3,276.86,277.16,277.90
RMQHeuristic,RMQSt,2097152,4004,2092652.0,19544,274.4,273.39,273.84,276.14
RMQHeuristic,RMQSt,2097152,4804,2091952.0,31054,298.7,298.04,298.47,299.27
RMQHeuristic,RMQSt,2097152,5604,2091252.0,46430,295.5,294.79,295.07,297.28
RMQHeuristic,RMQSt,2097152,6404,2090552.0,66153,297.2,295.93,296.73,300.10
RMQHeuristic,RMQSt,2097152,7204,2089852.0,91286,323.8,304.28,329.21,338.65
RMQHeuristic,RMQSt,2097152,8004,2089152.0,121988,388.4,332.90,391.09,474.96
RMQHeuristic,RMQSt,2097152,8804,2088452.0,158869,373.4,346.61,355.12,451.63
RMQHeuristic,RMQSt,2097152,9604,2087752.0,202089,380.7,360.15,380.54,402.60
RMQHeuristic,RMQSt,2097152,10404,2087052.0,252771,459.9,421.95,433.81,567.24
RMQHeuristic,RMQSt,2097152,11204,2086352.0,310958,401.5,374.04,386.67,441.71
RMQHeuristic,RMQSt,2097152,12004,2085652.0,377332,405.2,395.62,399.54,425.18
RMQHeuristic,RMQSt,2097152,12804,2084952.0,453158,425.2,420.73,421.87,433.80
RMQHeuristic,RMQSt,2097152,13604,2084252.0,538146,473.2,449.21,460.51,526.40
RMQHeuristic,RMQSt,2097152,14404,2083552.0,633763,540.3,522.87,537.62,554.88
RMQHeuristic,RMQSt,2097152,15204,2082852.0,740095,561.0,522.87,531.33,634.09
RMQHeuristic,RMQSt,2097152,16004,2082152.0,856862,584.6,547.28,593.77,626.59
RMQHeuristic,RMQSt,2097152,16804,2081452.0,985428,574.9,544.13,559.26,639.45
RMQHeuristic,RMQSt,2097152,17604,2080752.0,1125783,592.9,586.51,592.61,599.67
RMQHeuristic,RMQSt,2097152,18404,2080052.0,1278650,633.7,627.05,630.18,648.31
RMQHeuristic,RMQSt,2097152,19204,2079352.0,1444865,665.0,661.76,663.38,672.96
RMQHeuristic,RMQSt,2097152,20004,2078652.0,1625768,720.4,709.62,716.32,733.85
RMQHeuristic,RMQSt,2097152,20804,2077952.0,1820557,784.6,782.27,783.83,787.91
RMQHeuristic,RMQSt,2097152,21604,2077252.0,2030927,840.4,836.88,837.72,849.86
RMQHeuristic,RMQSt,2097152,22404,2076552.0,2257137,919.4,899.07,909.77,958.05
RMQHeuristic,RMQSt,2097152,23204,2075852.0,2497908,956.0,943.38,948.54,981.12
RMQHeuristic,RMQSt,2097152,24004,2075152.0,2756775,1046.4,1020.16,1038.93,1094.98

RMQHeuristic,RMQSt,3145728,804,3144028.0,371,466.1,454.69,462.34,484.17
RMQHeuristic,RMQSt,3145728,1604,3143328.0,1488,461.5,457.65,458.31,470.87
RMQHeuristic,RMQSt,3145728,2404,3142628.0,3839,481.6,479.47,480.81,486.99
RMQHeuristic,RMQSt,3145728,3204,3141928.0,7487,445.3,443.18,445.38,448.05
