Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RMQSt, 191672, 2     , 1.6   , 96    , 4.8   , 3.36  , 3.41  , 7.30  
RMQHeuristic, RMQSt, 191672, 3     , 1.9   , 107   , 4.0   , 3.87  , 3.90  , 4.57  
RMQHeuristic, RMQSt, 191672, 4     , 2.2   , 91    , 4.5   , 4.30  , 4.34  , 5.41  
RMQHeuristic, RMQSt, 191672, 5     , 2.7   , 67    , 5.2   , 4.99  , 5.03  , 5.89  
RMQHeuristic, RMQSt, 191672, 6     , 3.2   , 55    , 5.6   , 5.50  , 5.54  , 6.04  
RMQHeuristic, RMQSt, 191672, 7     , 3.9   , 32    , 6.7   , 6.04  , 6.74  , 7.37  
RMQHeuristic, RMQSt, 191672, 8     , 4.7   , 21    , 7.5   , 6.61  , 7.37  , 8.66  
RMQHeuristic, RMQSt, 191672, 9     , 5.6   , 19    , 10.4  , 10.22 , 10.31 , 10.55 
RMQHeuristic, RMQSt, 191672, 10    , 6.7   , 6     , 9.8   , 9.54  , 9.57  , 10.47 
RMQHeuristic, RMQSt, 191672, 11    , 8.0   , 0     , 10.6  , 10.22 , 10.46 , 11.36 

RMQHeuristic, RMQSt, 195708, 2     , 1.6   , 95    , 5.5   , 3.40  , 6.28  , 7.97  
RMQHeuristic, RMQSt, 195708, 3     , 1.9   , 96    , 4.1   , 3.96  , 3.99  , 4.43  
RMQHeuristic, RMQSt, 195708, 4     , 2.2   , 84    , 4.7   , 4.41  , 4.48  , 5.66  
RMQHeuristic, RMQSt, 195708, 5     , 2.7   , 72    , 5.7   , 5.09  , 5.13  , 6.92  
RMQHeuristic, RMQSt, 195708, 6     , 3.2   , 60    , 6.2   , 5.60  , 5.74  , 8.24  
RMQHeuristic, RMQSt, 195708, 7     , 3.9   , 44    , 6.5   , 6.15  , 6.32  , 7.26  
RMQHeuristic, RMQSt, 195708, 8     , 4.7   , 25    , 7.0   , 6.72  , 6.77  , 7.41  
RMQHeuristic, RMQSt, 195708, 9     , 5.6   , 16    , 10.6  , 10.35 , 10.55 , 11.06 
RMQHeuristic, RMQSt, 195708, 10    , 6.7   , 4     , 10.0  , 9.77  , 9.82  , 10.57 
