Heuristic, RMQ,  Serie, t,    d,    ans,  av_time, min,  med,  max   
RMQHeuristic, RMQSt, 191672, 2     , 1.6   , 96    , 24.2  , 21.59 , 24.26 , 26.58 
RMQHeuristic, RMQSt, 191672, 3     , 1.9   , 107   , 18.5  , 16.96 , 18.00 , 20.99 
RMQHeuristic, RMQSt, 191672, 4     , 2.2   , 91    , 23.3  , 22.47 , 23.50 , 23.87 
RMQHeuristic, RMQSt, 191672, 5     , 2.7   , 67    , 24.6  , 22.76 , 24.16 , 27.23 
RMQHeuristic, RMQSt, 191672, 6     , 3.2   , 55    , 24.6  , 22.68 , 25.02 , 25.39 
RMQHeuristic, RMQSt, 191672, 7     , 3.9   , 32    , 18.9  , 16.97 , 19.24 , 20.35 
RMQHeuristic, RMQSt, 191672, 8     , 4.7   , 21    , 22.7  , 21.45 , 23.02 , 23.84 
RMQHeuristic, RMQSt, 191672, 9     , 5.6   , 19    , 24.0  , 23.43 , 24.13 , 24.45 
RMQHeuristic, RMQSt, 191672, 10    , 6.7   , 6     , 24.2  , 22.69 , 23.68 , 26.77 
RMQHeuristic, RMQSt, 191672, 11    , 8.0   , 0     , 26.0  , 22.69 , 26.30 , 29.27 

RMQHeuristic, RMQSt, 195708, 2     , 1.6   , 95    , 30.4  , 26.99 , 31.11 , 33.51 
RMQHeuristic, RMQSt, 195708, 3     , 1.9   , 96    , 21.7  , 19.26 , 22.46 , 22.48 
RMQHeuristic, RMQSt, 195708, 4     , 2.2   , 84    , 29.5  , 28.17 , 29.51 , 31.26 
RMQHeuristic, RMQSt, 195708, 5     , 2.7   , 72    , 28.6  , 27.75 , 28.57 , 29.36 
RMQHeuristic, RMQSt, 195708, 6     , 3.2   , 60    , 28.8  , 26.50 , 29.40 , 29.94 
RMQHeuristic, RMQSt, 195708, 7     , 3.9   , 44    , 21.1  , 18.75 , 21.44 , 22.14 
RMQHeuristic, RMQSt, 195708, 8     , 4.7   , 25    , 28.8  , 26.42 , 28.77 , 30.47 
RMQHeuristic, RMQSt, 195708, 9     , 5.6   , 16    , 28.5  , 27.03 , 28.50 , 30.13 
RMQHeuristic, RMQSt, 195708, 10    , 6.7   , 4     , 28.6  , 27.20 , 28.97 , 29.22 
RMQHeuristic, RMQSt, 195708, 11    , 8.0   , 0     , 28.0  , 27.12 , 28.04 , 28.99 

RMQHeuristic, RMQSt, 142941, 2     , 1.6   , 2568  , 21.9  , 19.18 , 22.00 , 24.41 
RMQHeuristic, RMQSt, 142941, 3     , 1.9   , 2619  , 15.5  , 13.82 , 15.77 , 16.20 
RMQHeuristic, RMQSt, 142941, 4     , 2.2   , 2306  , 21.7  , 19.77 , 21.30 , 25.68 
RMQHeuristic, RMQSt, 142941, 5     , 2.7   , 1875  , 20.8  , 19.86 , 21.11 , 21.53 
RMQHeuristic, RMQSt, 142941, 6     , 3.2   , 1448  , 22.6  , 19.29 , 23.00 , 25.40 
RMQHeuristic, RMQSt, 142941, 7     , 3.9   , 1056  , 15.9  , 13.65 , 16.01 , 17.80 
RMQHeuristic, RMQSt, 142941, 8     , 4.7   , 723   , 20.3  , 18.71 , 20.34 , 21.43 
RMQHeuristic, RMQSt, 142941, 9     , 5.6   , 463   , 20.7  , 19.66 , 20.84 , 21.67 
RMQHeuristic, RMQSt, 142941, 10    , 6.7   , 258   , 20.8  , 19.36 , 21.15 , 21.61 
RMQHeuristic, RMQSt, 142941, 11    , 8.0   , 118   , 20.5  , 19.09 , 20.78 , 21.29 

RMQHeuristic, RMQSt, 137257, 2     , 1.6   , 286   , 21.1  , 18.72 , 20.22 , 24.46 
RMQHeuristic, RMQSt, 137257, 3     , 1.9   , 348   , 14.5  , 13.01 , 15.15 , 15.76 
RMQHeuristic, RMQSt, 137257, 4     , 2.2   , 377   , 20.7  , 19.21 , 20.86 , 21.63 
RMQHeuristic, RMQSt, 137257, 5     , 2.7   , 340   , 20.4  , 19.48 , 20.48 , 21.39 
RMQHeuristic, RMQSt, 137257, 6     , 3.2   , 265   , 19.8  , 18.93 , 19.62 , 21.05 
RMQHeuristic, RMQSt, 137257, 7     , 3.9   , 190   , 15.6  , 14.11 , 15.42 , 17.21 
RMQHeuristic, RMQSt, 137257, 8     , 4.7   , 134   , 19.8  , 18.69 , 20.30 , 20.50 
RMQHeuristic, RMQSt, 137257, 9     , 5.6   , 92    , 19.4  , 18.14 , 19.21 , 20.93 
RMQHeuristic, RMQSt, 137257, 10    , 6.7   , 48    , 20.2  , 19.64 , 20.19 , 20.78 
RMQHeuristic, RMQSt, 137257, 11    , 8.0   , 45    , 21.4  , 18.78 , 21.14 , 25.67 

RMQHeuristic, RMQSt, 179443, 2     , 1.6   , 346   , 28.2  , 24.64 , 27.36 , 34.77 
RMQHeuristic, RMQSt, 179443, 3     , 1.9   , 393   , 19.6  , 17.52 , 19.67 , 20.93 
RMQHeuristic, RMQSt, 179443, 4     , 2.2   , 362   , 26.6  , 24.33 , 26.40 , 29.53 
RMQHeuristic, RMQSt, 179443, 5     , 2.7   , 330   , 27.6  , 25.66 , 27.61 , 29.19 
RMQHeuristic, RMQSt, 179443, 6     , 3.2   , 262   , 27.4  , 25.74 , 27.06 , 29.23 
RMQHeuristic, RMQSt, 179443, 7     , 3.9   , 164   , 20.0  , 17.23 , 20.15 , 22.64 
RMQHeuristic, RMQSt, 179443, 8     , 4.7   , 116   , 25.9  , 24.56 , 25.60 , 27.01 
RMQHeuristic, RMQSt, 179443, 9     , 5.6   , 77    , 26.9  , 25.94 , 27.10 , 27.80 
RMQHeuristic, RMQSt, 179443, 10    , 6.7   , 47    , 26.4  , 25.11 , 26.68 , 26.91 
RMQHeuristic, RMQSt, 179443, 11    , 8.0   , 26    , 27.5  , 26.17 , 27.26 , 28.36 

RMQHeuristic, RMQSt, 177631, 2     , 1.6   , 372   , 29.6  , 27.11 , 28.11 , 36.78 
RMQHeuristic, RMQSt, 177631, 3     , 1.9   , 392   , 18.7  , 17.74 , 18.34 , 19.77 
RMQHeuristic, RMQSt, 177631, 4     , 2.2   , 353   , 25.8  , 24.35 , 25.77 , 27.68 
RMQHeuristic, RMQSt, 177631, 5     , 2.7   , 283   , 26.5  , 24.84 , 26.79 , 27.45 
RMQHeuristic, RMQSt, 177631, 6     , 3.2   , 203   , 26.7  , 25.68 , 26.55 , 28.26 
RMQHeuristic, RMQSt, 177631, 7     , 3.9   , 140   , 19.0  , 17.84 , 19.06 , 20.37 
RMQHeuristic, RMQSt, 177631, 8     , 4.7   , 111   , 25.2  , 23.10 , 25.51 , 26.30 
RMQHeuristic, RMQSt, 177631, 9     , 5.6   , 81    , 26.2  , 24.49 , 26.45 , 26.97 
RMQHeuristic, RMQSt, 177631, 10    , 6.7   , 51    , 25.9  , 23.86 , 26.44 , 27.80 
RMQHeuristic, RMQSt, 177631, 11    , 8.0   , 26    , 26.4  , 25.78 , 26.34 , 27.08 
